location_tag,climate,topography,vegetation,soil_type,fertility,river_level,is_coastal,is_adjacent_to_lake,province,super_region,calibrated_lon,calibrated_lat
a_keis,cold_arid,plateau,scrubland,stony,very_low,0,False,False,nama_province,africa,18.920286103889424,-30.10546831726762
a_taw_bun_kut_en,subarctic,hills,coniferous_forest,stony,very_low,1,False,True,lake_dakelh_province,america,-125.88594927385904,55.11377353042178
aa_kw,subarctic,mountains,tundra,loam,very_low,0,True,False,central_tlingit_province,america,-135.91510282008196,58.75115973894863
aabenraa,oceanic,flatland,marsh,sand,high,0,True,False,sonderjylland_province,europe,9.575492963651811,54.96719151187748
aaboukingon,subtropical,floodplains,forest,loam,very_high,5,False,False,charquis_province,america,-87.00697678127483,37.53626550377812
aachen,oceanic,hills,swamp,loam,high,0,False,False,julich_province,europe,6.269009239811652,50.740642816491786
aahkawiraahkata,continental,flatland,grasslands,loam,very_high,0,False,False,aahkawiraahkata,america,-98.5337671779213,38.819533897777475
aahkawirahkata,cold_steppe,plateau,grasslands,sand,moderate,2,False,False,ihkowom_iyo_he_province,america,-109.33750347706805,45.83375641745042
aakhoe,hot_steppe,plateau,scrubland,stony,low,1,False,False,damara_province,africa,15.483063863665564,-19.169662416722893
aaku,cold_steppe,hills,scrubland,stony,very_low,0,False,False,shiewhibak_province,america,-107.59597420346864,35.11645597457132
aalborg,oceanic,flatland,marsh,sand,moderate,0,True,False,norrejylland_province,europe,9.963734490626962,56.71555844509487
aalst,oceanic,floodplains,marsh,loam,very_high,2,False,False,east_flanders_province,europe,3.8919203316511357,50.91458738554121
aankwaahsakwa,continental,flatland,marsh,silt,very_high,2,False,False,wapinippi_province,america,-85.88418381220842,39.21441419300667
aarau,continental,hills,woods,loam,high,5,False,False,aargau_province,europe,8.107232832708007,47.47354246942526
aarhus,oceanic,flatland,marsh,silt,high,0,True,False,eastern_jutland_province,europe,9.938464868716324,56.03433977209812
aashbikkaashee,cold_steppe,plateau,scrubland,sand,low,0,False,False,iisaxpuatahcheeaashe_province,america,-109.07168824804094,44.71700658904851
aashbiliihkupe,continental,hills,grasslands,loam,low,1,False,False,ihkowom_iyo_he_province,america,-110.20821533374246,45.76050933757554
aashise,continental,mountains,grasslands,loam,low,2,False,False,aashise_province,america,-111.86356744068448,47.14067964492183
aays,subtropical,flatland,forest,loam,very_high,2,False,False,kitaish_province,america,-95.40572851004751,33.657042897803066
aba_al_qur,arid,flatland,desert,stony,very_low,0,False,False,jawf_province,asia,41.495186113078034,30.512761266371967
abacoa,savanna,wetlands,jungle,loam,moderate,0,True,False,bahamas_province,america,-77.85712392422698,24.467120159864486
abadan,arid,deltas,desert,loam,very_low,4,True,False,basra_province,asia,48.452715284155886,30.181575594159725
abadeh,cold_steppe,hills,scrubland,sand,very_low,0,False,False,abarkuh_province,asia,52.53243020232489,31.19077709040061
abadeh_tashk,cold_steppe,floodplains,scrubland,loam,very_low,0,False,True,shiraz_province,asia,53.91241411251275,29.613304391810225
abaga,subarctic,hills,coniferous_forest,loam,very_low,2,False,False,amga_province,asia,132.62648762728634,60.949156385855694
abagaita,continental_monsoon,plateau,grasslands,loam,low,2,False,True,upper_argun_province,asia,118.37763938172964,49.72848586707006
abaiang_atoll,tropical,atoll,jungle,loam,very_low,0,True,False,tungaru_province,oceania,172.91218247167177,1.8629983333822562
