attribute,value,capacity_people,capacity_share_of_reference,locations,maximum_capacity_people_info,is_reference,output_chili,output_cocoa,output_cotton,output_dyes,output_fiber_crops,output_fruit,output_incense,output_legumes,output_lumber,output_maize,output_medicaments,output_millet,output_olives,output_pepper,output_potato,output_rice,output_saffron,output_silk,output_sugar,output_tea,output_tobacco,output_wheat,output_wine
reference,intercept,23300.0,0.8791927374466096,20893,77100.0,True,-0.03,0.04,-0.08,-0.12,-0.32,0.2,-0.14,0.09,-0.02,-0.12,0.0,0.05,-0.17,-0.05,0.13,-0.16,0.06,-0.12,0.07,0.01,-0.07,0.15,0.01
climate,arctic,-7500.0,-0.2830019541137155,559,-32200.0,False,,,,,,,,,,0.31,,,,,,,,,,,,,
climate,arid,-2100.0,-0.0792405471518403,1275,-28100.0,False,,,0.24,,0.5,-0.25,0.4,-0.17,,,0.21,,,,,,-0.11,0.24,,,,-0.2,
climate,cold_arid,-3100.0,-0.1169741410336691,410,-28400.0,False,,,0.21,,0.14,-0.24,,-0.12,,,,,,,,,,,,,,-0.13,
climate,cold_steppe,-4900.0,-0.1848946100209608,1123,-25500.0,False,,,0.23,,0.22,-0.18,,-0.14,-0.3,,0.25,,0.32,,,0.09,0.13,0.08,,,,-0.14,0.22
climate,continental_monsoon,300.0,0.0113200781645486,726,12900.0,False,,,0.19,,0.15,,,-0.11,-0.24,,0.11,0.14,,,,,,-0.08,,-0.18,,-0.15,
climate,dry_summer_continental,1300.0,0.0490536720463773,355,-1800.0,False,,,,,,,,-0.18,-0.25,,0.22,,,,,,,,,,,,0.25
climate,highland_monsoon,-2600.0,-0.0981073440927547,440,-19400.0,False,0.13,,,,0.32,,,-0.25,,,,,,,,0.25,,,,,,-0.15,
climate,hot_steppe,3700.0,0.1396142973627663,909,-9000.0,False,,,0.16,0.16,0.58,-0.37,0.54,-0.1,-0.27,,0.21,,,,,,,0.38,,,,-0.28,
climate,mediterranean,2600.0,0.0981073440927547,1190,-8700.0,False,,,0.2,,0.37,,,,,,0.16,,0.22,,,0.27,,0.15,,,,,0.09
climate,oceanic,2100.0,0.0792405471518403,1446,2400.0,False,,,,,0.17,,,-0.18,0.19,,,-0.19,,,,,,-0.17,,,,,
climate,savanna,-200.0,-0.0075467187763657,2178,-16300.0,False,0.11,,,0.34,0.47,-0.38,0.33,-0.15,,,,,,,,0.2,-0.31,0.3,-0.26,,-0.15,-0.51,
climate,subarctic,-8500.0,-0.3207355479955442,2095,-32200.0,False,,,,,,,,,-0.16,,-0.18,,,,,,,,,,,-0.18,
climate,subpolar_oceanic,-6500.0,-0.2452683602318868,24,-32200.0,False,,,,,,,,,,,,,,,,,,,,,,,
climate,subtropical,-3800.0,-0.1433876567509492,1663,27400.0,False,,,,,0.39,-0.2,,-0.23,,,,-0.16,,-0.1,,0.4,,0.18,-0.25,,,-0.19,
climate,subtropical_monsoon,-5600.0,-0.2113081257382409,1187,10100.0,False,,,,0.24,0.42,-0.32,,-0.24,,,,-0.11,,,,0.27,,0.29,-0.2,0.11,,-0.35,
climate,tropical,700.0,0.0264135157172801,974,15600.0,False,,,,0.25,0.4,-0.11,,-0.36,0.17,,,-0.24,,,,0.17,-0.26,,,,,,
