attribute,value,capacity_people,capacity_share_of_reference,locations,maximum_capacity_people_info,is_reference,output_chili,output_cloves,output_cocoa,output_coffee,output_cotton,output_dyes,output_fiber_crops,output_fruit,output_incense,output_legumes,output_lumber,output_maize,output_medicaments,output_millet,output_olives,output_pepper,output_potato,output_rice,output_saffron,output_silk,output_sugar,output_tea,output_tobacco,output_wheat,output_wine,game_key
reference,intercept,23300.0,0.8791927374466096,20893,80900.0,True,-0.2,-0.25,-0.2,-0.32,-0.18,-0.23,-0.19,0.06,-0.37,0.04,-0.09,-0.05,-0.04,0.01,-0.2,-0.23,-0.12,-0.36,-0.03,-0.41,-0.23,-0.34,-0.03,0.05,0.05,
climate,arctic,-9400.0,-0.3546957824891901,559,-36300.0,False,0.23,0.05,,,-0.14,-0.2,-0.2,-0.12,-0.01,,-0.31,-0.2,,-0.11,,,0.5,-0.04,-0.2,,,0.08,-0.27,,-0.25,arctic
climate,arid,-5500.0,-0.207534766350058,1275,-34800.0,False,0.1,0.05,,0.2,0.09,-0.01,,0.01,0.57,-0.21,-0.31,-0.14,0.08,-0.14,0.07,,-0.15,-0.02,-0.13,0.25,0.2,0.08,-0.21,-0.18,-0.2,arid
climate,cold_arid,-7000.0,-0.2641351571728011,410,-34900.0,False,0.07,0.05,,,0.06,-0.02,,-0.12,-0.01,-0.11,-0.31,-0.2,,-0.11,,,,-0.04,-0.05,0.18,,0.08,-0.27,-0.1,-0.14,cold_arid
climate,cold_steppe,-6700.0,-0.2528150790082525,1123,-32900.0,False,0.1,0.05,,,0.06,,0.1,-0.12,0.1,-0.1,-0.27,-0.12,0.09,,0.24,,-0.1,-0.04,0.16,0.22,,0.08,-0.1,,,ha1300_climate_cold_steppe
climate,continental_monsoon,200.0,0.0075467187763657,726,12000.0,False,0.15,-0.01,,,0.23,0.02,,-0.01,0.07,,-0.11,0.03,0.15,0.17,,0.14,-0.16,-0.04,0.09,0.1,,0.24,0.07,,,ha1300_climate_continental_monsoon
climate,dry_summer_continental,-900.0,-0.0339602344936458,355,-12100.0,False,0.23,0.01,,,-0.02,0.08,0.11,0.07,0.12,-0.15,-0.24,-0.17,0.23,,0.17,0.2,-0.2,-0.04,0.19,0.13,,0.08,-0.05,,0.08,ha1300_climate_dry_summer_continental
climate,highland_monsoon,-2700.0,-0.1018807034809376,440,-18700.0,False,0.23,0.27,0.36,0.2,0.06,0.11,0.17,-0.12,0.19,-0.05,0.09,,-0.12,,,0.09,0.16,0.31,-0.09,0.37,0.2,0.36,-0.1,,-0.13,ha1300_climate_highland_monsoon
climate,hot_steppe,1600.0,0.0603737502109259,909,-17300.0,False,0.3,-0.04,,0.01,0.16,0.15,0.29,-0.44,0.66,-0.05,-0.22,-0.05,0.15,0.13,0.24,0.2,,,-0.11,0.37,0.2,0.08,-0.11,-0.17,-0.2,ha1300_climate_hot_steppe
climate,mediterranean,1300.0,0.0490536720463773,1190,-16900.0,False,0.23,0.05,,0.2,0.04,0.04,0.25,-0.03,0.19,,-0.02,-0.16,0.13,,0.24,0.16,,-0.04,0.07,0.37,0.17,-0.06,-0.06,,,mediterranean
climate,oceanic,2200.0,0.0830139065400232,1446,2900.0,False,0.16,0.04,,,-0.14,0.02,0.17,0.05,0.06,-0.04,0.13,-0.06,,-0.11,0.01,,0.08,-0.04,,0.05,,0.08,-0.07,,,oceanic
climate,savanna,-200.0,-0.0075467187763657,2178,-16900.0,False,0.23,0.27,0.23,0.2,0.07,0.43,0.27,-0.27,0.36,,0.07,,,,,0.09,0.2,0.31,-0.2,0.45,0.2,0.17,-0.2,-0.25,-0.38,ha1300_climate_savanna
climate,subarctic,-10500.0,-0.3962027357592018,2095,-36300.0,False,,0.05,,,-0.14,-0.07,-0.27,-0.12,-0.01,,-0.11,-0.2,-0.12,-0.11,,-0.05,,-0.04,-0.2,,,0.08,-0.27,-0.09,-0.25,ha1300_climate_subarctic
climate,subpolar_oceanic,-8300.0,-0.3131888292191785,24,-36300.0,False,,0.05,,,-0.14,,,-0.32,-0.01,-0.24,0.05,-0.2,-0.06,-0.11,,,0.12,-0.04,-0.2,,,0.08,-0.27,-0.15,-0.25,ha1300_climate_subpolar_oceanic
climate,subtropical,-3800.0,-0.1433876567509492,1663,25300.0,False,0.23,0.27,0.1,0.2,0.06,0.11,0.29,-0.12,0.18,,0.05,0.02,,-0.19,0.01,0.05,0.07,0.44,-0.05,0.37,0.31,0.28,-0.07,-0.09,-0.16,subtropical
climate,subtropical_monsoon,-5300.0,-0.1999880475736923,1187,9300.0,False,0.23,0.27,0.28,0.2,0.08,0.3,0.17,-0.31,0.26,,0.03,,,-0.11,,0.2,0.11,0.31,-0.11,0.42,0.37,0.36,-0.07,-0.16,-0.25,ha1300_climate_subtropical_monsoon
climate,tropical,600.0,0.0226401563290972,974,12000.0,False,0.23,0.27,0.36,0.2,0.02,0.35,0.22,0.23,0.07,-0.22,0.13,-0.01,,-0.21,,0.2,0.13,0.34,-0.2,0.43,0.2,0.28,-0.18,-0.25,-0.25,tropical
climate,tropical_monsoon,-200.0,-0.0075467187763657,553,-1600.0,False,0.11,0.35,0.36,0.28,-0.05,0.4,0.21,-0.12,0.19,-0.14,0.13,-0.06,0.08,-0.31,,0.2,0.18,0.39,-0.2,0.44,0.2,0.3,-0.29,-0.25,-0.25,ha1300_climate_tropical_monsoon
topography,atoll,-1300.0,-0.0490536720463773,83,-4800.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,atoll
topography,deltas,0.0,0.0,173,19400.0,False,,0.08,,,-0.04,0.12,0.19,,,,-0.08,,,-0.04,,0.08,-0.08,0.12,,0.11,0.19,-0.19,-0.07,-0.06,,ha1300_topo_deltas
topography,floodplains,0.0,0.0,1701,4500.0,False,,0.05,,,,,,,,,,,,,,,,,,,,-0.07,,,,ha1300_topo_floodplains
topography,hills,-700.0,-0.0264135157172801,4327,-3100.0,False,,,,0.08,,,-0.07,,,,,,,,,,,,-0.07,,,,,,,hills
topography,mountain_wasteland,-1200.0,-0.0452803126581944,4,-4800.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,mountain_wasteland
topography,mountains,-1300.0,-0.0490536720463773,2390,-4800.0,False,-0.07,,,0.1,,-0.06,-0.13,-0.12,-0.09,,-0.11,0.05,-0.14,,-0.07,-0.09,0.13,,-0.11,-0.07,,0.06,,,-0.09,mountains
topography,plateau,600.0,0.0226401563290972,2465,1000.0,False,,,,,,,-0.06,,,,,,,,,,,,,,,,,,,plateau
topography,rolling,100.0,0.0037733593881828,382,-4100.0,False,-0.06,,-0.08,,-0.04,,,,-0.04,-0.05,,,,,-0.11,,,,,-0.11,,,,,,ha1300_topo_rolling
topography,valleys,2500.0,0.0943339847045718,571,6900.0,False,,,,,-0.07,,,,,,,,,,,,,,,,-0.13,,,,,ha1300_topo_valleys
topography,wetlands,-600.0,-0.0226401563290972,1268,-4800.0,False,,,,,,,0.05,,,,,,,,,,,,,,,-0.08,-0.04,,,wetlands
vegetation,coniferous_forest,-0.0,-0.0,1893,100.0,False,-0.11,,,,-0.06,-0.06,-0.1,,-0.08,,0.11,-0.03,,-0.04,-0.07,-0.09,,,-0.06,-0.04,,0.18,,-0.04,-0.14,ha1300_veg_coniferous_forest
vegetation,desert,0.0,0.0,891,0.0,False,-0.17,,,,-0.09,,-0.22,0.19,-0.13,,,,-0.3,,-0.11,-0.2,,,,-0.08,-0.07,,-0.05,,-0.22,desert
vegetation,dry_forest,4200.0,0.1584810943036807,870,13600.0,False,,,-0.27,-0.09,,0.1,,-0.17,,,0.11,-0.04,,,,-0.07,,,-0.14,0.08,-0.15,0.06,-0.09,-0.12,-0.14,ha1300_veg_dry_forest
vegetation,farmland,1300.0,0.0490536720463773,931,24100.0,False,,,,,,,,0.06,,,,,,,,0.12,,,,,,,,,,farmland
vegetation,forest,-0.0,-0.0,1682,3300.0,False,,,,,-0.14,-0.08,,,-0.08,,0.05,,-0.06,,-0.09,,,,,-0.05,-0.12,-0.04,,,-0.08,forest
vegetation,jungle,-0.0,-0.0,1806,-0.0,False,-0.05,,-0.15,0.11,-0.09,,,,-0.08,-0.11,0.18,-0.05,,-0.2,,-0.13,,,,,,0.17,-0.17,-0.13,-0.17,jungle
vegetation,marsh,400.0,0.0150934375527314,2241,22400.0,False,,,-0.15,,,,,,,,,,-0.04,-0.05,-0.11,,-0.06,,,0.12,,,-0.09,,,ha1300_veg_marsh
vegetation,mixed_forest,-0.0,-0.0,2064,300.0,False,-0.05,,-0.19,,-0.13,-0.1,-0.12,-0.08,-0.13,-0.06,0.06,-0.03,-0.14,-0.11,-0.08,-0.1,,,-0.04,-0.03,-0.06,,-0.08,-0.05,-0.14,ha1300_veg_mixed_forest
vegetation,savanna,9200.0,0.3471490637128244,2127,1300.0,False,,,-0.18,-0.08,,,,-0.1,,,0.07,,,,,,,-0.11,-0.05,0.08,-0.2,,,-0.05,,ha1300_veg_savanna
