location_tag,good,predicted,target,reason
choco,chili,-0.21,,not viable in the efficiency data
gochacalla,chili,-0.47,,not viable in the efficiency data
himuris,chili,-0.26,-0.4317,predicted below floor -0.2
imbaguarbak,chili,-0.37,-0.1434,predicted below floor -0.2
kabeka,chili,-0.22,,not viable in the efficiency data
parita,chili,-0.02,,not viable in the efficiency data
puncune,chili,-0.33,,not viable in the efficiency data
puyu,chili,-0.02,,not viable in the efficiency data
rimaq,chili,-0.4,-0.4901,predicted below floor -0.2
tarapaca,chili,-0.66,-0.4876,predicted below floor -0.2
timbiqui,chili,-0.15,,not viable in the efficiency data
ullantaytampu,chili,-0.22,,not viable in the efficiency data
xelahuh,chili,-0.09,,not viable in the efficiency data
xllang,chili,-0.4,-0.0177,predicted below floor -0.2
yurakar,chili,0.03,,not viable in the efficiency data
chactemal,cocoa,-0.39,-0.2081,predicted below floor -0.2
chalchuapa,cocoa,0.03,,not viable in the efficiency data
cueiba,cocoa,-0.38,,not viable in the efficiency data
guaduas,cocoa,-0.26,-0.8629,predicted below floor -0.2
guanimar,cocoa,-0.14,,not viable in the efficiency data
mizantla,cocoa,-0.24,,not viable in the efficiency data
pailon,cocoa,-0.26,-0.4506,predicted below floor -0.2
sonso,cocoa,-0.11,,not viable in the efficiency data
tado_colombia,cocoa,-0.26,,not viable in the efficiency data
tixmul,cocoa,-0.39,,not viable in the efficiency data
tuxpan,cocoa,-0.26,-0.3279,predicted below floor -0.2
zacatollan,cocoa,-0.01,,not viable in the efficiency data
zaci,cocoa,-0.39,,not viable in the efficiency data
zanatepec,cocoa,-0.09,,not viable in the efficiency data
zihuatlan,cocoa,-0.09,,not viable in the efficiency data
al_mukha,coffee,-0.22,,not viable in the efficiency data
dakkar,coffee,-0.48,,not viable in the efficiency data
harar,coffee,-0.21,-0.2869,predicted below floor -0.2
taizz,coffee,-0.12,,not viable in the efficiency data
abarkuh,cotton,-0.5,-0.5835,predicted below floor -0.2
aksu,cotton,-0.34,-0.0523,predicted below floor -0.2
aleppo,cotton,-0.25,-0.2083,predicted below floor -0.2
andaki,cotton,-0.25,,not viable in the efficiency data
andaymarca,cotton,-0.61,,not viable in the efficiency data
anegada,cotton,-0.32,-0.0371,predicted below floor -0.2
arghestan,cotton,-0.31,-0.4801,predicted below floor -0.2
artush,cotton,-0.41,-0.6090,predicted below floor -0.2
ayaviri,cotton,-0.61,,not viable in the efficiency data
azemmour,cotton,-0.28,-0.6167,predicted below floor -0.2
azumi,cotton,-0.21,,not viable in the efficiency data
baghdad,cotton,-0.22,-0.4248,predicted below floor -0.2
balad_ruz,cotton,-0.38,-0.5972,predicted below floor -0.2
bandar_deyr,cotton,-0.22,-0.5044,predicted below floor -0.2
banikoara,cotton,-0.24,-0.1811,predicted below floor -0.2
biberach,cotton,-0.25,,not viable in the efficiency data
bikrampur,cotton,-0.26,-0.4777,predicted below floor -0.2
biriri,cotton,-0.31,-0.3431,predicted below floor -0.2
bosra,cotton,-0.25,-0.5650,predicted below floor -0.2
brezina,cotton,-0.5,-0.5074,predicted below floor -0.2
buale,cotton,-0.31,-0.1554,predicted below floor -0.2
buur_hakaba,cotton,-0.31,-0.1230,predicted below floor -0.2
callamaco,cotton,-0.26,-0.4990,predicted below floor -0.2
camana,cotton,-0.5,-0.1732,predicted below floor -0.2
candia,cotton,-0.4,-0.4626,predicted below floor -0.2
caniche,cotton,-0.61,,not viable in the efficiency data
chanderi,cotton,-0.23,-0.4597,predicted below floor -0.2
charchan,cotton,-0.5,-0.5946,predicted below floor -0.2
chichaoua,cotton,-0.34,-0.6139,predicted below floor -0.2
churu,cotton,-0.38,-0.3868,predicted below floor -0.2
colha,cotton,-0.21,0.0033,predicted below floor -0.2
coneto,cotton,-0.25,-0.2480,predicted below floor -0.2
cuauhtitlan,cotton,0.19,,not viable in the efficiency data
daet,cotton,-0.14,,not viable in the efficiency data
damghan,cotton,-0.25,-0.2974,predicted below floor -0.2
darganata,cotton,-0.41,-0.5973,predicted below floor -0.2
dogo,cotton,-0.38,,not viable in the efficiency data
el_eleila,cotton,-0.31,-0.4564,predicted below floor -0.2
erbil,cotton,-0.27,-0.5193,predicted below floor -0.2
fin,cotton,-0.38,-0.4113,predicted below floor -0.2
girin_ula,cotton,0.36,,not viable in the efficiency data
gorgan,cotton,-0.25,-0.2931,predicted below floor -0.2
hewanorra,cotton,-0.38,-0.5770,predicted below floor -0.2
hoveyzeh,cotton,-0.22,-0.5281,predicted below floor -0.2
huari,cotton,-0.25,,not viable in the efficiency data
huichuan,cotton,-0.41,0.0033,predicted below floor -0.2
ilog,cotton,-0.21,,not viable in the efficiency data
ishma,cotton,-0.34,-0.1693,predicted below floor -0.2
islamgarh,cotton,-0.47,-0.6181,predicted below floor -0.2
isparta,cotton,-0.28,-0.1779,predicted below floor -0.2
itzamkanac,cotton,-0.33,-0.4990,predicted below floor -0.2
kandong,cotton,-0.21,0.0826,predicted below floor -0.2
karajia,cotton,-0.45,,not viable in the efficiency data
karakax,cotton,-0.34,-0.4209,predicted below floor -0.2
karkevand,cotton,-0.33,-0.4734,predicted below floor -0.2
khupati,cotton,-0.33,-0.5152,predicted below floor -0.2
khwar,cotton,-0.31,-0.4196,predicted below floor -0.2
kleisoura,cotton,-0.27,-0.1168,predicted below floor -0.2
kourouninkoto,cotton,-0.24,-0.2216,predicted below floor -0.2
koutiala,cotton,-0.24,-0.4162,predicted below floor -0.2
kwatsaan,cotton,-0.38,-0.5910,predicted below floor -0.2
logone_birni,cotton,-0.15,,not viable in the efficiency data
lucca,cotton,-0.46,-0.5080,predicted below floor -0.2
luliang,cotton,0.19,,not viable in the efficiency data
luuq,cotton,-0.38,-0.4106,predicted below floor -0.2
madas,cotton,-0.47,,not viable in the efficiency data
maukallaqta,cotton,-0.45,,not viable in the efficiency data
mayapan,cotton,-0.33,-0.4620,predicted below floor -0.2
menghai,cotton,-0.12,,not viable in the efficiency data
meskiana,cotton,-0.25,-0.3619,predicted below floor -0.2
miyaneh,cotton,-0.33,-0.4401,predicted below floor -0.2
moron,cotton,-0.27,-0.2466,predicted below floor -0.2
morphou,cotton,-0.28,-0.2459,predicted below floor -0.2
mubarakabad,cotton,-0.41,-0.6134,predicted below floor -0.2
mut,cotton,-0.28,-0.3349,predicted below floor -0.2
nanning,cotton,0.19,,not viable in the efficiency data
neuse,cotton,-0.25,,not viable in the efficiency data
ngazargamu,cotton,-0.22,-0.3316,predicted below floor -0.2
ngoussa,cotton,-0.47,-0.6083,predicted below floor -0.2
noh_peten,cotton,-0.28,0.2239,predicted below floor -0.2
ocotelolco,cotton,0.06,,not viable in the efficiency data
oyo_ile,cotton,-0.24,0.0229,predicted below floor -0.2
ozoro,cotton,-0.39,-0.5373,predicted below floor -0.2
pacaca,cotton,-0.45,,not viable in the efficiency data
papanton,cotton,-0.25,-0.2509,predicted below floor -0.2
pathri,cotton,-0.24,-0.4063,predicted below floor -0.2
pebuenmapu,cotton,-0.58,,not viable in the efficiency data
phyu,cotton,-0.23,-0.5044,predicted below floor -0.2
pumpu,cotton,-0.61,,not viable in the efficiency data
rayen,cotton,-0.5,-0.6159,predicted below floor -0.2
rigyal,cotton,-0.08,,not viable in the efficiency data
rosso,cotton,-0.38,-0.5788,predicted below floor -0.2
rumah,cotton,-0.38,-0.6180,predicted below floor -0.2
rustaq,cotton,-0.47,-0.5604,predicted below floor -0.2
samarra,cotton,-0.22,-0.5827,predicted below floor -0.2
samawa,cotton,-0.38,-0.4846,predicted below floor -0.2
sanga,cotton,-0.31,-0.3114,predicted below floor -0.2
sayhat,cotton,-0.47,-0.5979,predicted below floor -0.2
sehore,cotton,-0.24,-0.0121,predicted below floor -0.2
seqse_qaqa,cotton,-0.61,,not viable in the efficiency data
shilong,cotton,-0.1,,not viable in the efficiency data
sicasica,cotton,-0.25,,not viable in the efficiency data
sighnaq,cotton,-0.25,-0.0141,predicted below floor -0.2
siwi,cotton,-0.22,-0.1649,predicted below floor -0.2
sohrfiruzan,cotton,-0.41,-0.5307,predicted below floor -0.2
sotk,cotton,-0.37,,not viable in the efficiency data
taikang,cotton,-0.39,0.1699,predicted below floor -0.2
tases,cotton,-0.33,-0.5770,predicted below floor -0.2
taybah,cotton,-0.47,,not viable in the efficiency data
teypana,cotton,-0.25,-0.2185,predicted below floor -0.2
tissemsilt,cotton,-0.25,-0.0780,predicted below floor -0.2
tohono_oodham,cotton,-0.31,-0.2925,predicted below floor -0.2
tus,cotton,-0.25,-0.3462,predicted below floor -0.2
ullum,cotton,-0.25,0.0716,predicted below floor -0.2
viransehir,cotton,-0.27,-0.5815,predicted below floor -0.2
walalde,cotton,-0.47,-0.5661,predicted below floor -0.2
wasit,cotton,-0.38,-0.5597,predicted below floor -0.2
weiqing,cotton,-0.24,-0.6123,predicted below floor -0.2
willcahuain,cotton,-0.61,0.0856,predicted below floor -0.2
xanthia,cotton,-0.21,-0.0864,predicted below floor -0.2
xiica_hai_iic_coii,cotton,-0.38,,not viable in the efficiency data
yangchun,cotton,-0.23,,not viable in the efficiency data
yangikent,cotton,-0.41,-0.5060,predicted below floor -0.2
yauca,cotton,-0.34,,not viable in the efficiency data
yeongdong,cotton,-0.31,-0.5152,predicted below floor -0.2
zarand_iran,cotton,-0.5,-0.5573,predicted below floor -0.2
amiens,dyes,-0.21,-0.0740,predicted below floor -0.2
arnstadt,dyes,-0.23,-0.1944,predicted below floor -0.2
asir,dyes,-0.17,,not viable in the efficiency data
bades,dyes,-0.37,-0.1205,predicted below floor -0.2
baliseyh,dyes,-0.21,-0.0781,predicted below floor -0.2
beni_sabih,dyes,-0.37,,not viable in the efficiency data
bruges,dyes,-0.3,-0.0973,predicted below floor -0.2
chateau_thierry,dyes,-0.21,-0.0487,predicted below floor -0.2
cittacastello,dyes,-0.3,-0.1788,predicted below floor -0.2
fez,dyes,-0.27,-0.0571,predicted below floor -0.2
gdansk,dyes,-0.31,-0.1097,predicted below floor -0.2
gergal,dyes,-0.23,-0.1959,predicted below floor -0.2
ghariyan,dyes,-0.21,,not viable in the efficiency data
huayacocotla,dyes,-0.22,0.4023,predicted below floor -0.2
insuyu,dyes,-0.32,-0.0895,predicted below floor -0.2
jiroft,dyes,-0.33,-0.2875,predicted below floor -0.2
maxorata,dyes,-0.37,,not viable in the efficiency data
mitilene,dyes,-0.28,-0.2025,predicted below floor -0.2
