from,to,state,cost_profile,shore
pp_nav_00001,pp_nav_00002,navigable,difficult,False
pp_nav_00001,kengdey,navigable,difficult,True
pp_nav_00002,kengdey,navigable,difficult,True
pp_nav_00003,chekurovka,navigable,difficult,True
pp_nav_00003,kengdey,navigable,difficult,True
pp_nav_00004,pp_nav_00006,navigable,navigable,False
pp_nav_00004,olenegorsk,navigable,navigable,True
pp_nav_00004,cokuurdaax,navigable,navigable,True
pp_nav_00005,olenegorsk,navigable,navigable,True
pp_nav_00005,cokuurdaax,navigable,navigable,True
pp_nav_00006,pp_nav_00008,navigable,navigable,False
pp_nav_00006,vorontsovo,navigable,navigable,True
pp_nav_00006,olenegorsk,navigable,navigable,True
pp_nav_00006,nicalaax,navigable,navigable,True
pp_nav_00007,pp_nav_00012,navigable,navigable,False
pp_nav_00007,dudinka,navigable,navigable,True
pp_nav_00008,pp_nav_00010,navigable,navigable,False
pp_nav_00008,vorontsovo,navigable,navigable,True
pp_nav_00009,molodo,navigable,difficult,True
pp_nav_00010,vorontsovo,navigable,navigable,True
pp_nav_00011,vorontsovo,navigable,navigable,True
pp_nav_00012,pp_nav_00019,barrier,barrier,False
pp_nav_00012,dudinka,navigable,navigable,True
pp_nav_00013,pp_nav_00018,navigable,navigable,False
pp_nav_00013,inuviq,navigable,navigable,True
pp_nav_00014,mikhalkino,navigable,navigable,True
pp_nav_00015,khargytyr,improvable,improvable,True
pp_nav_00016,zharzhan,navigable,difficult,True
pp_nav_00017,pp_nav_00021,navigable,navigable,False
pp_nav_00017,kurung_yuryakh,navigable,navigable,True
pp_nav_00018,pp_nav_00022,navigable,navigable,False
pp_nav_00018,inuviq,navigable,navigable,True
pp_nav_00018,tuktoyukiuq,navigable,navigable,True
pp_nav_00019,pp_nav_00023,barrier,barrier,False
pp_nav_00019,dudinka,barrier,barrier,True
pp_nav_00020,pp_nav_00026,barrier,barrier,False
pp_nav_00020,pp_nav_00027,improvable,improvable,False
pp_nav_00020,kolymskoie,improvable,improvable,True
pp_nav_00020,omoloon,improvable,improvable,True
pp_nav_00021,pp_nav_00024,improvable,improvable,False
pp_nav_00021,tuyandina,navigable,navigable,True
pp_nav_00021,kurung_yuryakh,navigable,navigable,True
pp_nav_00021,khachimcher,navigable,navigable,True
pp_nav_00022,pp_nav_00028,navigable,navigable,False
pp_nav_00022,pp_nav_00029,navigable,navigable,False
pp_nav_00022,inuviq,navigable,navigable,True
pp_nav_00023,pp_nav_00031,barrier,barrier,False
