location,state,pixels,region,near_location,mean_discharge_m3_s,low_discharge_m3_s,gradient_m_per_km,evidence,river_level,tropical,seasonal,x,y,ocean_connected
pp_nav_00001,navigable,77,east_siberia_region,kengdey,15592.426,1909.83,0.012546408254882988,bounded_native_gap;physical_screen,5,False,True,13494.375,276.5416666666667,False
pp_nav_00002,navigable,11,east_siberia_region,kengdey,15582.653,1919.172,0.08976126735997332,physical_screen,5,False,True,13482.375,289.875,False
pp_nav_00003,navigable,11,east_siberia_region,chekurovka,15572.117,1939.419,0.08726824379051519,physical_screen,1,False,True,13482.57142857143,299.42857142857144,False
pp_nav_00004,navigable,77,east_siberia_region,olenegorsk,1569.851,378.226,0.20901353293164482,physical_screen,3,False,False,14409.416666666666,401.9166666666667,False
pp_nav_00005,navigable,17,east_siberia_region,olenegorsk,1570.374,376.906,0.0,physical_screen,1,False,False,14414.727272727272,395.72727272727275,False
pp_nav_00006,navigable,80,east_siberia_region,olenegorsk,1561.339,379.984,0.22720931982335296,physical_screen,3,False,False,14403.5625,430.6041666666667,False
pp_nav_00007,navigable,75,west_siberia_region,dudinka,19386.365,5415.841,0.0014423072338104249,physical_screen,5,False,False,11605.270833333334,454.2291666666667,False
pp_nav_00008,navigable,78,east_siberia_region,vorontsovo,1511.169,359.375,0.22720931982335296,physical_screen,3,False,False,14402.854166666666,456.5625,False
pp_nav_00009,navigable,36,east_siberia_region,molodo,15237.118,1800.214,0.0,physical_screen,5,False,True,13335.5,460.0,False
pp_nav_00010,navigable,9,east_siberia_region,vorontsovo,1507.474,365.806,0.0,physical_screen,3,False,False,14394.0,462.5,False
pp_nav_00011,navigable,14,east_siberia_region,vorontsovo,1507.474,365.806,0.0,physical_screen,1,False,False,14400.625,467.875,False
pp_nav_00012,navigable,81,west_siberia_region,dudinka,19326.35,5369.002,0.003197107114131761,physical_screen,5,False,False,11618.416666666666,483.625,False
pp_nav_00013,navigable,80,alaska_region,inuviq,9236.721,5778.597,0.0,physical_screen,5,False,False,1578.3125,485.1041666666667,False
pp_nav_00014,navigable,27,east_siberia_region,mikhalkino,3716.337,1761.874,0.0,physical_screen,4,False,False,15029.277777777777,483.77777777777777,False
pp_nav_00015,improvable,78,east_siberia_region,khargytyr,1486.164,369.642,0.4789145431991715,physical_screen,3,False,False,14375.75,486.1136363636364,False
pp_nav_00016,navigable,49,east_siberia_region,zharzhan,15158.88,1743.314,0.08702333634615009,physical_screen,5,False,True,13328.709677419354,502.7096774193548,False
pp_nav_00017,navigable,79,east_siberia_region,kurung_yuryakh,1129.952,229.341,0.05716289543758356,bounded_native_gap;physical_screen,5,False,False,14332.125,504.0416666666667,False
