location_tag,river_level,x,y,distance_pixels,added_source
pagan,5,12008,3680,0.0,True
vartsila,3,9051,1011,0.0,False
katzenelnbogen,3,8042,1890,5.830951894845301,False
teocak,5,8572,2248,1.0,False
paris,5,7798,1991,2.23606797749979,True
daning_kuizhou,1,12681,3079,1.4142135623730951,True
duanxi,4,12797,3558,0.0,True
khagaria,5,11628,3419,3.1622776601683795,False
melenki,3,9589,1556,1.0,True
thayet,5,12018,3785,2.23606797749979,False
sosnovy_ostrov,5,9895,1719,0.0,True
rochefort,2,7644,2179,0.0,True
proszowice,1,8630,1897,1.0,True
yicheng,3,12798,3050,1.0,True
enping,1,12812,3599,1.4142135623730951,True
aalst,2,7873,1842,0.0,True
jambi,3,12426,4917,1.0,True
krasny_bor,5,9792,1101,1.0,True
staraya_mayna,4,9914,1595,1.0,True
ouasioto,4,3933,2654,1.0,True
bolshoye_selo,3,9444,1342,1.4142135623730951,True
lichtenberg,3,8055,1991,1.0,True
beaupreau,3,7650,2085,0.0,True
saw,5,12003,3671,3.1622776601683795,False
sandomierz,5,8687,1866,4.47213595499958,False
ahrweiler,4,8018,1868,0.0,True
guben,2,8356,1757,0.0,True
minqing,3,13098,3372,1.0,True
kutina,1,8452,2213,1.0,True
luling,5,12917,3325,4.47213595499958,False
kaharlyk,3,9094,1901,1.0,True
st_ambroix,3,7901,2287,0.0,True
darmstadt,3,8070,1911,2.0,True
cangwu,5,12758,3533,1.0,False
mahoning_oh,1,4027,2512,1.0,True
savantvadi,1,11046,3953,1.4142135623730951,True
gugera,2,11049,3085,0.0,True
agra,5,11258,3335,5.0,False
lincoln,1,7656,1687,1.4142135623730951,True
worcester,1,7588,1770,0.0,True
nikopol,5,8841,2327,3.605551275463989,False
torun,3,8519,1699,0.0,True
sabina,2,8266,2424,1.0,True
macon,2,7909,2158,0.0,True
vukovar,5,8554,2217,13.0,False
magdeburg,3,8221,1764,1.0,True
emasulia,5,3519,2639,1.4142135623730951,False
longvek,3,12461,4174,1.0,True
poggibonsi,1,8192,2321,0.0,True
senlis,1,7796,1968,0.0,True
yaroslavl,3,9517,1387,0.0,True
fiorenzuola,5,8139,2232,0.0,True
mainz,5,8066,1913,3.1622776601683795,True
mullheim,3,8036,2061,2.0,True
durlach,3,8072,1971,1.0,True
grafenau,1,8285,1991,1.0,True
chandpur,5,11819,3541,3.0,False
pavia,1,8126,2229,1.0,True
meaux,1,7820,1985,0.0,True
avignon,3,7917,2309,7.615773105863909,False
pokrovskoye,5,9919,1647,2.23606797749979,True
nerekhta,3,9562,1386,1.0,True
ust_sheksna,3,9457,1340,2.23606797749979,False
lipno,3,8551,1716,1.0,True
tsivilsk,4,9872,1495,0.0,True
voronezh,2,9472,1786,24.331050121192877,False
jonzac,1,7673,2198,1.0,True
dehua_jiujiang,5,12956,3169,2.0,True
baling,5,12836,3202,13.341664064126334,False
pakrac,1,8475,2227,1.0,True
pandua,3,11693,3551,24.08318915758459,False
zhigu,5,13027,2610,6.4031242374328485,False
speyer,5,8076,1947,0.0,True
totma,2,9675,1197,7.810249675906654,False
moksobo,4,12037,3572,20.615528128088304,False
srey_sarchhor,5,12469,4201,0.0,True
kara,4,11398,3413,13.416407864998739,False
evreux,2,7744,1967,3.605551275463989,False
nguidjilone,2,7083,3964,1.0,True
bamba,3,7610,3903,3.605551275463989,False
porto,3,7318,2481,17.08800749063506,False
gao,5,7688,3944,2.0,False
grimsby,2,7656,1661,1.0,True
villemur,5,7756,2307,10.63014581273465,False
kamieniec,2,8667,1722,12.165525060596439,False
viviers,3,7901,2282,0.0,True
chinon,5,7695,2098,1.0,False
trevoux,2,7911,2160,2.0,True
namgyeong,2,13464,2704,0.0,True
hertogenbosch,2,7940,1788,0.0,True
orange,3,7905,2285,1.0,True
dobyaz,5,9907,1507,2.0,True
gongan,5,12791,3166,14.422205101855956,False
hanguang,5,12842,3498,7.810249675906654,False
ust_tsimla,3,9613,2063,1.0,True
tarnogsky_gorodok,2,9689,1179,1.0,True
nudarcha,5,3447,2589,3.0,False
wiesbaden,3,8065,1905,1.0,True
arnhem,4,7948,1777,1.0,True
mongyang,5,12088,3482,2.0,False
phnom_santuk,5,12495,4156,11.180339887498949,False
glogow,2,8432,1795,2.8284271247461903,False
