from,to,state,cost_profile,shore
pp_nav_00001,pp_nav_00004,navigable,navigable,False
pp_nav_00001,ob,navigable,navigable,True
pp_nav_00002,pp_nav_00004,navigable,navigable,False
pp_nav_00002,pp_nav_00005,navigable,navigable,False
pp_nav_00002,shchuchya,navigable,navigable,True
pp_nav_00002,obdorsk,navigable,navigable,True
pp_nav_00003,pp_nav_00005,navigable,navigable,False
pp_nav_00003,pp_nav_00006,navigable,navigable,False
pp_nav_00003,pp_nav_00007,navigable,navigable,False
pp_nav_00003,shchuchya,navigable,navigable,True
pp_nav_00003,shuryshkar,navigable,navigable,True
pp_nav_00003,obdorsk,navigable,navigable,True
pp_nav_00004,ob,navigable,navigable,True
pp_nav_00004,shchuchya,navigable,navigable,True
pp_nav_00004,obdorsk,navigable,navigable,True
pp_nav_00005,shchuchya,navigable,navigable,True
pp_nav_00005,obdorsk,navigable,navigable,True
pp_nav_00006,pp_nav_00008,navigable,navigable,False
pp_nav_00006,obdorsk,navigable,navigable,True
pp_nav_00007,pp_nav_00009,navigable,navigable,False
pp_nav_00007,shuryshkar,navigable,navigable,True
pp_nav_00007,obdorsk,navigable,navigable,True
pp_nav_00008,obdorsk,navigable,navigable,True
pp_nav_00009,pp_nav_00010,navigable,navigable,False
pp_nav_00009,pitlyar,navigable,navigable,True
pp_nav_00009,shuryshkar,navigable,navigable,True
pp_nav_00009,obdorsk,navigable,navigable,True
pp_nav_00010,pp_nav_00011,navigable,navigable,False
pp_nav_00010,voikar,navigable,navigable,True
pp_nav_00010,pitlyar,navigable,navigable,True
pp_nav_00010,kunovat,navigable,navigable,True
pp_nav_00011,pp_nav_00012,navigable,navigable,False
pp_nav_00011,voikar,navigable,navigable,True
pp_nav_00011,zazhimchar,navigable,navigable,True
pp_nav_00011,kunovat,navigable,navigable,True
pp_nav_00012,pp_nav_00015,navigable,navigable,False
pp_nav_00012,zazhimchar,navigable,navigable,True
pp_nav_00013,intsi_cape,navigable,navigable,False
pp_nav_00013,arkhangelsk,navigable,navigable,True
pp_nav_00014,pp_nav_00016,navigable,navigable,False
pp_nav_00014,intsi_cape,navigable,navigable,False
pp_nav_00014,kholmogory,navigable,navigable,True
pp_nav_00014,pomorye,navigable,navigable,True
pp_nav_00014,arkhangelsk,navigable,navigable,True
pp_nav_00015,pp_nav_00017,navigable,navigable,False
pp_nav_00015,zazhimchar,navigable,navigable,True
