location_tag,original_levels,remaining_levels,original_coastal,new_coastal
konghalla,3,3,True,True
valmiera,1,1,False,False
pagan,5,5,False,True
disentis,1,1,False,False
soikino,1,1,True,True
talaha,5,5,False,False
gefle,3,3,True,True
pajala,5,5,False,False
tornea,3,3,True,True
ringerike,5,5,False,False
leksand,5,5,False,False
borg,3,3,True,True
soderala,2,2,True,True
berlin,1,1,False,True
montes_claros,1,1,False,False
taposa,5,5,False,True
tadoule,5,5,False,False
stora_tuna,2,2,False,False
berbela,3,3,False,False
juckasjarvi,1,1,False,False
vartsila,3,3,False,False
welamooktook,1,1,False,False
liyang,1,1,False,False
holtalen,1,1,False,False
yinshaluo,3,3,False,False
maraveh,1,1,False,False
mpanda,1,1,False,False
jumla,1,1,False,False
kasihta,1,1,False,False
gresik,2,2,True,True
kaymaz,1,1,False,False
asele,2,2,False,False
kunming,1,1,False,False
katzenelnbogen,3,3,False,True
gourdon,2,2,False,False
kirzhach,1,1,False,False
berg,1,1,False,False
skwierzyna,1,1,False,False
heby,3,3,False,False
uyana,4,4,False,False
dzagyal,1,1,False,False
gebergeyel,1,1,False,False
aim_maia,5,5,False,False
goroz,2,2,False,False
teocak,5,5,False,True
perm,3,3,False,True
ostashkov,1,1,False,False
jawan,1,1,False,False
yazoo,5,5,False,False
rozdory,1,1,False,True
qianjiang_shaoqing,1,1,False,False
vindeln,5,5,False,False
ngabang,2,2,False,False
ukomno_om,1,1,False,False
ahna_wate,1,1,False,False
laukas,1,1,False,False
vyazma,1,1,False,False
chopim,5,5,False,False
urzhum,3,3,False,False
poigan,1,1,False,False
paris,5,5,False,True
daning_kuizhou,1,1,False,False
kotawaringin_lama,5,5,True,True
raybag,3,3,False,False
joensuu,2,2,False,False
yanci,1,1,False,False
singkil,2,2,True,True
lida,1,1,False,False
ncando,5,5,False,False
caravelas,1,1,True,True
sto_lo,5,5,False,False
acatic,3,3,False,False
kyiv,5,5,False,True
copuz,1,1,False,False
camp_po_thit,1,1,True,True
uchami,2,2,False,False
sentachan,1,1,False,False
kyubyainde,2,2,False,False
mendota,2,2,False,False
mechetnaya,1,1,False,False
ekwan,2,2,True,True
duanxi,4,4,False,True
bundjalung,1,1,True,True
mbanza_nsundi,5,5,False,False
shravasti,2,2,False,False
ichon,1,1,False,False
daoba,1,1,False,False
