location_tag,water_location,state,shore_pixels
pagan,pp_nav_00684,navigable,16
pagan,pp_nav_00685,navigable,27
berlin,pp_nav_00217,navigable,24
taposa,pp_nav_00511,navigable,4
taposa,pp_nav_00512,navigable,71
taposa,pp_nav_00516,navigable,5
katzenelnbogen,pp_nav_00270,improvable,20
katzenelnbogen,pp_nav_00275,navigable,5
teocak,pp_nav_00396,navigable,20
teocak,pp_nav_00398,navigable,13
perm,pp_nav_00096,navigable,3
perm,pp_nav_00101,navigable,45
perm,pp_nav_00109,navigable,46
rozdory,pp_nav_00319,improvable,28
paris,pp_nav_00307,navigable,54
paris,pp_nav_00308,navigable,8
paris,pp_nav_00312,navigable,2
kyiv,pp_nav_00269,navigable,26
duanxi,pp_nav_00675,navigable,16
duanxi,pp_nav_00677,improvable,25
chipata,pp_nav_00755,navigable,24
chipata,pp_nav_00756,navigable,41
khagaria,pp_nav_00649,navigable,22
khagaria,pp_nav_00650,navigable,16
khagaria,pp_nav_00654,navigable,28
melenki,pp_nav_00157,navigable,41
makigotekw,pp_nav_00366,improvable,1
thayet,pp_nav_00689,navigable,35
thayet,pp_nav_00690,navigable,25
sosnovy_ostrov,pp_nav_00199,navigable,5
sosnovy_ostrov,pp_nav_00207,navigable,48
sosnovy_ostrov,pp_nav_00223,navigable,23
rochefort,pp_nav_00367,navigable,7
rochefort,pp_nav_00368,navigable,27
proszowice,pp_nav_00272,navigable,23
proszowice,pp_nav_00278,navigable,17
yicheng,pp_nav_00535,navigable,8
yicheng,pp_nav_00541,navigable,58
staraya_ladoga,pp_nav_00058,improvable,9
staraya_ladoga,pp_nav_00069,improvable,48
staraya_ladoga,pp_nav_00076,navigable,1
aalst,pp_nav_00255,navigable,25
aalst,pp_nav_00260,navigable,20
aalst,pp_nav_00263,navigable,12
jambi,pp_nav_00763,navigable,47
jambi,pp_nav_00766,navigable,73
krasny_bor,pp_nav_00031,navigable,23
krasny_bor,pp_nav_00033,navigable,49
krasny_bor,pp_nav_00035,navigable,49
krasny_bor,pp_nav_00037,navigable,2
staraya_mayna,pp_nav_00175,navigable,35
ouasioto,pp_nav_00474,navigable,18
bolshoye_selo,pp_nav_00099,navigable,54
bolshoye_selo,pp_nav_00100,navigable,31
bolshoye_selo,pp_nav_00103,navigable,38
lichtenberg,pp_nav_00304,navigable,24
beaupreau,pp_nav_00345,navigable,6
beaupreau,pp_nav_00347,navigable,22
saw,pp_nav_00684,navigable,1
saw,pp_nav_00685,navigable,39
weyanock,pp_nav_00490,barrier,42
sandomierz,pp_nav_00259,navigable,36
sandomierz,pp_nav_00267,navigable,37
ahrweiler,pp_nav_00264,navigable,16
guben,pp_nav_00214,navigable,10
guben,pp_nav_00226,navigable,24
minqing,pp_nav_00627,improvable,15
minqing,pp_nav_00630,navigable,13
kutina,pp_nav_00370,navigable,18
kutina,pp_nav_00377,navigable,19
verden,pp_nav_00197,navigable,4
verden,pp_nav_00203,navigable,8
luling,pp_nav_00619,navigable,28
kaharlyk,pp_nav_00269,navigable,43
kaharlyk,pp_nav_00279,navigable,20
st_ambroix,pp_nav_00408,improvable,6
darmstadt,pp_nav_00277,navigable,22
darmstadt,pp_nav_00280,navigable,31
cangwu,pp_nav_00675,navigable,10
mahoning_oh,pp_nav_00442,navigable,17
gugera,pp_nav_00547,navigable,23
gugera,pp_nav_00556,navigable,38
agra,pp_nav_00622,navigable,48
lincoln,pp_nav_00190,navigable,9
worcester,pp_nav_00212,navigable,19
worcester,pp_nav_00227,navigable,29
nikopol,pp_nav_00425,navigable,3
nikopol,pp_nav_00427,navigable,42
torun,pp_nav_00192,navigable,8
torun,pp_nav_00200,navigable,40
sabina,pp_nav_00431,navigable,60
wonju,pp_nav_00492,navigable,9
macon,pp_nav_00356,navigable,26
macon,pp_nav_00363,navigable,5
vukovar,pp_nav_00374,navigable,27
vukovar,pp_nav_00390,navigable,1
magdeburg,pp_nav_00225,improvable,18
casqui,pp_nav_00502,navigable,14
casqui,pp_nav_00505,navigable,50
casqui,pp_nav_00508,navigable,12
emasulia,pp_nav_00455,navigable,86
emasulia,pp_nav_00463,navigable,96
emasulia,pp_nav_00468,navigable,93
emasulia,pp_nav_00472,navigable,30
regensburg,pp_nav_00303,navigable,21
longvek,pp_nav_00733,navigable,21
longvek,pp_nav_00734,navigable,38
danyang,pp_nav_00537,improvable,39
poggibonsi,pp_nav_00424,navigable,30
senlis,pp_nav_00295,navigable,72
senlis,pp_nav_00301,navigable,12
yaroslavl,pp_nav_00105,navigable,52
yaroslavl,pp_nav_00107,navigable,48
yaroslavl,pp_nav_00112,navigable,24
mirandola,pp_nav_00395,navigable,18
fiorenzuola,pp_nav_00388,navigable,33
dalneye_konstantinovo,pp_nav_00137,navigable,11
mainz,pp_nav_00275,navigable,56
mainz,pp_nav_00277,navigable,6
mainz,pp_nav_00280,navigable,11
radovanu,pp_nav_00423,navigable,25
nanping,pp_nav_00627,improvable,52
mullheim,pp_nav_00327,navigable,34
backnang,pp_nav_00297,navigable,2
durlach,pp_nav_00291,navigable,20
durlach,pp_nav_00304,navigable,2
grafenau,pp_nav_00311,navigable,12
nonantola,pp_nav_00395,navigable,16
krems,pp_nav_00321,navigable,26
krems,pp_nav_00324,navigable,12
chandpur,pp_nav_00670,navigable,23
pavia,pp_nav_00388,navigable,3
pavia,pp_nav_00389,navigable,9
selkehatchie,pp_nav_00521,navigable,48
selkehatchie,pp_nav_00524,navigable,12
bauge,pp_nav_00345,navigable,20
bauge,pp_nav_00349,navigable,3
meaux,pp_nav_00302,navigable,64
meaux,pp_nav_00308,navigable,9
avignon,pp_nav_00419,improvable,15
pokrovskoye,pp_nav_00179,navigable,19
pokrovskoye,pp_nav_00185,navigable,30
nerekhta,pp_nav_00107,navigable,14
nerekhta,pp_nav_00111,navigable,23
ust_sheksna,pp_nav_00099,navigable,20
ust_sheksna,pp_nav_00100,navigable,37
lipno,pp_nav_00200,navigable,40
lipno,pp_nav_00206,navigable,8
tsivilsk,pp_nav_00141,navigable,2
tsivilsk,pp_nav_00144,navigable,39
pingyuan_jinan,pp_nav_00485,navigable,11
pingyuan_jinan,pp_nav_00493,navigable,16
voronezh,pp_nav_00238,navigable,54
voronezh,pp_nav_00254,navigable,12
coria_del_rio,pp_nav_00491,improvable,13
dehua_jiujiang,pp_nav_00596,navigable,15
dehua_jiujiang,pp_nav_00597,navigable,21
baling,pp_nav_00600,navigable,24
baling,pp_nav_00601,navigable,17
baling,pp_nav_00604,navigable,6
pakrac,pp_nav_00377,navigable,28
pakrac,pp_nav_00384,navigable,15
pandua,pp_nav_00673,navigable,35
pandua,pp_nav_00678,navigable,10
guwahati,pp_nav_00632,navigable,39
zhigu,pp_nav_00448,navigable,40
zhigu,pp_nav_00461,navigable,12
speyer,pp_nav_00291,navigable,19
totma,pp_nav_00062,navigable,35
totma,pp_nav_00064,navigable,96
totma,pp_nav_00068,navigable,98
totma,pp_nav_00074,navigable,36
banan,pp_nav_00598,navigable,21
banan,pp_nav_00599,navigable,36
nagara_borneo,pp_nav_00780,navigable,55
moksobo,pp_nav_00674,navigable,21
moksobo,pp_nav_00681,navigable,5
srey_sarchhor,pp_nav_00735,navigable,1
