location,state,pixels,region,near_location,mean_discharge_m3_s,low_discharge_m3_s,gradient_m_per_km,evidence,river_level,tropical,seasonal,x,y,ocean_connected
pp_nav_00001,navigable,79,west_siberia_region,ob,154.439,92.07,0.0,reach:Ob with Irtysh:river;reach:Ob with Irtysh:sea,2,False,False,10821.375,699.0,False
pp_nav_00002,navigable,81,west_siberia_region,obdorsk,42.221,21.407,0.06409568786621093,reach:Ob with Irtysh:sea,1,False,False,10756.25,708.9166666666666,False
pp_nav_00003,navigable,72,west_siberia_region,obdorsk,49.535,25.558,0.0,reach:Ob with Irtysh:sea,1,False,False,10721.979166666666,710.8125,False
pp_nav_00004,navigable,80,west_siberia_region,ob,154.439,92.07,0.0,reach:Ob with Irtysh:sea,2,False,False,10790.829787234043,713.3617021276596,False
pp_nav_00005,navigable,11,west_siberia_region,shchuchya,46.849,24.016,0.1899611072081796,reach:Ob with Irtysh:sea,1,False,False,10737.285714285714,710.7142857142857,False
pp_nav_00006,navigable,81,west_siberia_region,obdorsk,42.221,21.407,0.06409568786621093,reach:Ob with Irtysh:sea,1,False,False,10737.583333333334,724.0416666666666,False
pp_nav_00007,navigable,75,west_siberia_region,shuryshkar,11443.746,6696.11,0.0,reach:Ob with Irtysh:sea,0,False,False,10702.020833333334,731.5208333333334,False
pp_nav_00008,navigable,32,west_siberia_region,obdorsk,42.221,21.407,0.06409568786621093,reach:Ob with Irtysh:sea,1,False,False,10761.166666666666,730.7777777777778,False
pp_nav_00009,navigable,77,west_siberia_region,pitlyar,11435.6785,6689.523999999999,0.04049775182741772,reach:Ob with Irtysh:river;reach:Ob with Irtysh:sea,0,False,False,10688.541666666666,757.4583333333334,False
pp_nav_00010,navigable,70,west_siberia_region,voikar,11381.677,6591.196,0.24318504333496094,reach:Ob with Irtysh:river,5,False,False,10679.166666666666,792.6666666666666,False
pp_nav_00011,navigable,76,west_siberia_region,zazhimchar,983.613,298.091,0.06665088335882491,reach:Ob with Irtysh:river,3,False,False,10664.791666666666,823.6666666666666,False
pp_nav_00012,navigable,74,west_siberia_region,zazhimchar,958.742,288.604,0.0,reach:Ob with Irtysh:river,3,False,False,10671.75,853.125,False
pp_nav_00013,navigable,28,russian_region,arkhangelsk,3259.656,1005.654,0.0,reach:Northern Dvina with Sukhona (White Sea route):river;reach:Northern Dvina with Sukhona (White Sea route):sea,5,False,False,9538.0,856.5,True
pp_nav_00014,navigable,81,russian_region,arkhangelsk,3249.082,993.798,1.926815927028656,reach:Northern Dvina with Sukhona (White Sea route):river;reach:Northern Dvina with Sukhona (White Sea route):sea,5,False,False,9538.0,869.5,True
pp_nav_00015,navigable,74,west_siberia_region,beryozovo,11128.419,6485.541,0.0,reach:Ob with Irtysh:river,5,False,False,10686.770833333334,874.3541666666666,False
pp_nav_00016,navigable,82,russian_region,kholmogory,2756.207,829.422,0.0,reach:Northern Dvina with Sukhona (White Sea route):river,5,False,False,9569.770833333334,885.1041666666666,True
pp_nav_00017,navigable,72,west_siberia_region,beryozovo,10696.355,6221.934,0.0,reach:Ob with Irtysh:river,5,False,False,10694.145833333334,903.6041666666666,False
