attribute,value,capacity_people,capacity_share_of_reference,locations,maximum_capacity_people_info,is_reference,output_chili,output_cocoa,output_cotton,output_dyes,output_fiber_crops,output_fruit,output_incense,output_legumes,output_lumber,output_maize,output_medicaments,output_millet,output_olives,output_pepper,output_potato,output_rice,output_saffron,output_silk,output_sugar,output_tea,output_tobacco,output_wheat,output_wine,game_key
reference,intercept,23300.0,0.8791927374466096,20893,80900.0,True,-0.03,0.04,-0.07,-0.13,-0.32,0.2,-0.14,0.07,-0.02,-0.12,-0.0,0.02,-0.07,-0.06,0.12,-0.16,0.06,-0.1,0.06,0.02,-0.08,0.13,-0.04,
climate,arctic,-9400.0,-0.3546957824891901,559,-36300.0,False,,,,,,,,,,0.28,,,,,,,,,,,,,,arctic
climate,arid,-5500.0,-0.207534766350058,1275,-34800.0,False,,,0.22,,0.49,-0.3,0.41,-0.23,,,0.18,-0.1,,,,,-0.17,0.23,,,,-0.29,,arid
climate,cold_arid,-7000.0,-0.2641351571728011,410,-34900.0,False,,,0.19,,0.14,-0.27,,-0.2,,,,-0.05,,,,,,,,,,-0.21,,cold_arid
climate,cold_steppe,-6700.0,-0.2528150790082525,1123,-32900.0,False,,,0.19,,0.2,-0.23,,-0.23,-0.31,,0.22,,0.34,,,,0.11,,-0.08,,,-0.2,0.19,ha1300_climate_cold_steppe
climate,continental_monsoon,200.0,0.0075467187763657,726,12000.0,False,,,0.2,,0.15,,,-0.11,-0.24,,0.11,0.15,,,,,,-0.09,,-0.18,,-0.15,,ha1300_climate_continental_monsoon
climate,dry_summer_continental,-900.0,-0.0339602344936458,355,-12100.0,False,,,,,,,,-0.22,-0.25,,0.22,,,,,,,,,,,,0.25,ha1300_climate_dry_summer_continental
climate,highland_monsoon,-2700.0,-0.1018807034809376,440,-18700.0,False,0.11,,,,0.32,,,-0.23,,,,,,,,0.24,,,,,,-0.13,,ha1300_climate_highland_monsoon
climate,hot_steppe,1600.0,0.0603737502109259,909,-17300.0,False,,,0.14,0.15,0.57,-0.36,0.54,-0.13,-0.27,,0.2,,,,,,,0.36,,,,-0.31,,ha1300_climate_hot_steppe
climate,mediterranean,1300.0,0.0490536720463773,1190,-16900.0,False,,,0.18,,0.35,,,,,,0.14,,0.21,,,0.23,,0.13,,,,,0.09,mediterranean
climate,oceanic,2200.0,0.0830139065400232,1446,2900.0,False,,,,,0.17,,,-0.16,0.19,,,-0.17,,,,,,-0.19,,,,,,oceanic
climate,savanna,-200.0,-0.0075467187763657,2178,-16900.0,False,,,,0.35,0.47,-0.36,0.33,-0.13,,,,,,,,0.19,-0.3,0.29,-0.24,,-0.14,-0.46,,ha1300_climate_savanna
climate,subarctic,-10500.0,-0.3962027357592018,2095,-36300.0,False,,,,,,,,,-0.16,,-0.18,,,,,,,,,,,-0.18,,ha1300_climate_subarctic
climate,subpolar_oceanic,-8300.0,-0.3131888292191785,24,-36300.0,False,,,,,,,,,,,,,,,,,,,,,,,,ha1300_climate_subpolar_oceanic
climate,subtropical,-3800.0,-0.1433876567509492,1663,25300.0,False,,,,,0.39,-0.16,,-0.21,,,,-0.15,,-0.1,,0.39,,0.17,-0.23,,,-0.19,,subtropical
climate,subtropical_monsoon,-5300.0,-0.1999880475736923,1187,9300.0,False,,,,0.24,0.42,-0.3,,-0.23,,,,-0.1,,,,0.26,,0.28,-0.18,0.11,,-0.32,,ha1300_climate_subtropical_monsoon
climate,tropical,600.0,0.0226401563290972,974,12000.0,False,,,,0.26,0.4,-0.11,,-0.35,0.17,,,-0.23,,,,0.17,-0.26,,,,,,,tropical
climate,tropical_monsoon,-200.0,-0.0075467187763657,553,-1600.0,False,,,,,0.46,-0.16,,-0.32,0.12,,,-0.3,,,,0.26,-0.35,,-0.27,,,,,ha1300_climate_tropical_monsoon
topography,atoll,-1300.0,-0.0490536720463773,83,-4800.0,False,,,,,,0.12,,,0.28,,,,,,,,,,,,,,,atoll
