location_tag,good,predicted,target,reason
choco,chili,-0.1200,,not viable in the efficiency data
churajon,chili,-0.2100,0.0432,predicted below floor -0.2
gochacalla,chili,-0.2100,,not viable in the efficiency data
imbaguarbak,chili,-0.2100,-0.2396,predicted below floor -0.2
kabeka,chili,-0.3000,,not viable in the efficiency data
parita,chili,-0.1200,,not viable in the efficiency data
pashas,chili,-0.2100,-0.4580,predicted below floor -0.2
puncune,chili,-0.0300,,not viable in the efficiency data
puyu,chili,-0.1200,,not viable in the efficiency data
timbiqui,chili,-0.1200,,not viable in the efficiency data
tucssa,chili,-0.2100,-0.2763,predicted below floor -0.2
ullantaytampu,chili,-0.1900,,not viable in the efficiency data
xelahuh,chili,-0.0300,,not viable in the efficiency data
yurakar,chili,-0.0300,,not viable in the efficiency data
amassing,cloves,,,good not fitted
banda_island,cloves,,,good not fitted
bengkulu,cloves,,,good not fitted
bungabali,cloves,,,good not fitted
dharmasraya,cloves,,,good not fitted
gayo_lues,cloves,,,good not fitted
hitu,cloves,,,good not fitted
jambi,cloves,,,good not fitted
julau,cloves,,,good not fitted
kayeli,cloves,,,good not fitted
lampung,cloves,,,good not fitted
malacca,cloves,,,good not fitted
menggala,cloves,,,good not fitted
obi,cloves,,,good not fitted
ohoi_ewur,cloves,,,good not fitted
padang,cloves,,,good not fitted
pekalongan,cloves,,,good not fitted
sarikei,cloves,,,good not fitted
tanjung_palas,cloves,,,good not fitted
ternate,cloves,,,good not fitted
tidore,cloves,,,good not fitted
chactemal,cocoa,-0.2100,0.1804,predicted below floor -0.2
chalchuapa,cocoa,0.1400,,not viable in the efficiency data
cueiba,cocoa,-0.1000,,not viable in the efficiency data
guaduas,cocoa,-0.2100,-0.4388,predicted below floor -0.2
guanimar,cocoa,0.0000,,not viable in the efficiency data
mizantla,cocoa,0.1400,,not viable in the efficiency data
pailon,cocoa,-0.2100,-0.1584,predicted below floor -0.2
sonso,cocoa,-0.2100,,not viable in the efficiency data
tado_colombia,cocoa,-0.2100,,not viable in the efficiency data
tixmul,cocoa,-0.2100,,not viable in the efficiency data
zacatollan,cocoa,0.1400,,not viable in the efficiency data
zaci,cocoa,-0.2100,,not viable in the efficiency data
zanatepec,cocoa,0.1400,,not viable in the efficiency data
zihuatlan,cocoa,0.1400,,not viable in the efficiency data
agaro,coffee,,,good not fitted
al_mukha,coffee,,,good not fitted
bonga,coffee,,,good not fitted
dakkar,coffee,,,good not fitted
dangila,coffee,,,good not fitted
gamo,coffee,,,good not fitted
harar,coffee,,,good not fitted
haya,coffee,,,good not fitted
ilimo,coffee,,,good not fitted
nekemte,coffee,,,good not fitted
nyakyusa,coffee,,,good not fitted
sheikh_hussein,coffee,,,good not fitted
taizz,coffee,,,good not fitted
west_aasax,coffee,,,good not fitted
abacoa,cotton,-0.2600,-0.3354,predicted below floor -0.2
akure,cotton,-0.2600,-0.3220,predicted below floor -0.2
andaki,cotton,-0.2600,,not viable in the efficiency data
andaymarca,cotton,-0.0700,,not viable in the efficiency data
anegada,cotton,-0.2600,-0.1740,predicted below floor -0.2
ayaviri,cotton,-0.0700,,not viable in the efficiency data
azumi,cotton,-0.2500,,not viable in the efficiency data
bani_cuba,cotton,-0.2600,-0.0846,predicted below floor -0.2
biberach,cotton,-0.1700,,not viable in the efficiency data
bikrampur,cotton,-0.2500,-0.4297,predicted below floor -0.2
cachamay,cotton,-0.2600,-0.0114,predicted below floor -0.2
callamaco,cotton,-0.2500,-0.4367,predicted below floor -0.2
caniche,cotton,-0.0700,,not viable in the efficiency data
caux,cotton,-0.2200,-0.3714,predicted below floor -0.2
changle_xunzhou,cotton,-0.2200,0.0007,predicted below floor -0.2
changshu,cotton,-0.3200,-0.2253,predicted below floor -0.2
cohari,cotton,-0.2500,-0.4223,predicted below floor -0.2
colha,cotton,-0.2600,-0.1203,predicted below floor -0.2
coosaw,cotton,-0.2200,-0.4603,predicted below floor -0.2
cuauhtitlan,cotton,0.1700,,not viable in the efficiency data
daet,cotton,-0.2600,,not viable in the efficiency data
fuqing,cotton,-0.2200,-0.2908,predicted below floor -0.2
girin_ula,cotton,0.2400,,not viable in the efficiency data
hewanorra,cotton,-0.2600,-0.4741,predicted below floor -0.2
