location_tag,building,starting_levels,cap_at_start,cap_at_reference_development,starting_ledger_people,maximum_ledger_people
a_keis,clearing,0,1,2,0.0,39.3
a_taw_bun_kut_en,clearing,0,1,2,0.0,4870.3
aa_kw,clearing,0,0,0,0.0,1263.6
aabenraa,clearing,2,4,5,5958.4,10733.3
aaboukingon,clearing,0,7,8,518.4,32689.4
aachen,clearing,2,3,4,6766.9,14300.6
aahkawiraahkata,clearing,0,4,5,801.2,35976.8
aahkawirahkata,clearing,0,3,4,0.0,20947.3
aakhoe,clearing,0,3,4,0.0,34901.0
aaku,clearing,0,2,3,0.0,3568.0
aalborg,clearing,1,3,4,2109.4,7965.8
aalst,clearing,1,6,6,6837.5,14017.1
aankwaahsakwa,clearing,0,5,6,0.0,37325.2
aarau,clearing,1,3,4,4433.0,16393.3
aarhus,clearing,2,4,5,5316.3,11365.2
aashbikkaashee,clearing,0,2,3,0.0,9711.0
aashbiliihkupe,clearing,0,1,2,0.0,15758.1
aashise,clearing,0,1,2,0.0,16411.4
aays,clearing,0,7,8,0.0,55461.7
abacoa,clearing,0,5,6,0.0,36468.3
abadan,clearing,0,0,0,82.1,120.4
abadeh,clearing,0,2,3,117.2,3036.1
abadeh_tashk,clearing,0,2,3,51.9,4375.2
abaga,clearing,0,1,2,0.0,0.0
abagaita,clearing,0,9,10,0.0,26066.2
abaiang_atoll,clearing,0,5,6,0.0,0.0
abakasnk,clearing,0,1,2,4.2,5049.4
abala,clearing,0,3,4,3.6,3746.6
abalak,clearing,0,2,3,0.0,0.0
aban,clearing,0,2,3,0.0,6724.7
abare_i,clearing,0,7,8,0.0,44679.4
abashiri,clearing,0,2,3,225.0,28292.3
abau,clearing,0,6,7,520.9,34817.5
abbeville,clearing,3,5,5,14523.3,15455.4
abdanan,clearing,0,3,4,760.5,7216.7
abdas,clearing,0,3,4,266.6,888.2
abdulino,clearing,0,2,3,35.5,9852.5
abe,clearing,0,4,5,0.0,28356.3
abemama_atoll,clearing,0,5,6,0.0,0.0
abengourou,clearing,2,7,8,3520.8,32580.0
aberdeen,clearing,1,2,2,3900.2,3900.2
aberfeldy,clearing,0,1,2,576.7,1017.3
aberystwyth,clearing,1,1,2,3319.6,3377.6
abesehir,clearing,0,3,4,0.0,19338.9
abha,clearing,0,2,3,185.2,4934.9
abhar,clearing,0,2,3,102.2,9410.7
abihka,clearing,0,6,7,55.3,13768.4
abil,clearing,0,0,0,13.7,462.2
abimatinu,clearing,0,1,2,0.0,8935.1
abingdon,clearing,3,4,4,14500.1,17884.6
abisko,clearing,0,1,2,0.0,0.0
abitau,clearing,0,1,2,0.0,523.3
abiward,clearing,0,1,2,0.0,5056.1
abiy_addi,clearing,0,5,6,391.7,24699.8
abiz,clearing,0,2,3,12.8,8053.9
abo,clearing,0,1,2,123.6,4111.4
abomey,clearing,2,6,7,5215.0,27183.0
abong,clearing,0,7,8,0.3,25809.5
aborlan,clearing,0,6,7,0.0,45077.5
abrahamtelke,clearing,1,4,5,3367.5,15037.1
abu,clearing,0,7,8,887.9,56962.8
abu_kemal,clearing,0,2,3,539.5,2583.7
abu_rakah,clearing,0,0,0,0.0,684.6
abun,clearing,0,5,6,0.2,31476.6
aburra,clearing,0,1,2,211.6,5391.4
abuta,clearing,0,2,3,102.9,32718.4
abutua,clearing,0,6,7,16.9,121223.7
abyy,clearing,0,1,2,0.0,0.0
acambaro,clearing,3,5,6,10403.3,19466.0
acanti,clearing,0,5,6,963.3,15415.3
acaponeta,clearing,3,7,8,6970.8,41957.1
acarau,clearing,0,7,8,0.0,28446.5
acari,clearing,0,0,0,1167.9,1791.7
acasaguastlan,clearing,0,5,6,564.3,15323.8
acatic,clearing,4,6,7,14090.7,36166.5
acayucan,clearing,7,7,8,21711.3,51977.5
accomac,clearing,0,5,6,735.7,10966.0
accra,clearing,5,7,8,10679.7,32515.7
acerenza,clearing,3,3,4,15472.7,18546.1
achacachi,clearing,0,1,2,0.0,192.7
achachiwa,clearing,0,1,2,0.0,4611.9
achaivayam,clearing,0,1,2,0.0,211.4
achaka,clearing,0,1,2,0.0,0.0
acham,clearing,0,6,7,18.3,13214.0
achan,clearing,0,10,11,8.9,11924.3
achava,clearing,0,1,2,0.0,3719.7
achen,clearing,0,1,2,0.0,7314.1
achikamii,clearing,0,1,2,0.0,4884.2
achim,clearing,3,3,3,19058.6,21838.9
achit_nuur,clearing,0,2,3,0.0,1182.7
acholi,clearing,0,7,8,0.0,22221.0
achomawi,clearing,0,1,2,0.0,11945.9
aco,clearing,0,9,10,0.0,84780.7
aconca_hue,clearing,0,1,2,27.2,6626.4
aconchi,clearing,1,5,6,954.7,17045.0
aconquija,clearing,0,3,4,0.0,22975.4
acoroazes,clearing,0,4,5,0.0,20219.2
acqui,clearing,3,5,6,11421.1,15241.4
acre,clearing,1,4,5,1863.4,9574.5
acroas,clearing,0,6,7,0.0,28777.2
acteon,clearing,0,5,6,0.0,0.0
acuera,clearing,0,7,8,30.4,23703.9
adachi,clearing,1,4,5,2465.8,28842.6
adachi_kanto,clearing,2,8,9,9319.4,67214.7
adakli,clearing,0,1,2,208.2,9831.7
adalaga,clearing,0,3,4,150.4,11635.7
adana,clearing,1,2,3,5332.3,7596.9
adanki,clearing,5,6,7,15955.0,85001.9
adare,clearing,0,2,3,668.9,4281.7
addu_atoll,clearing,0,5,6,0.0,0.0
adena,clearing,1,7,8,1191.5,37859.9
adeqiu,clearing,0,1,2,297.3,3143.3
aderbissinat,clearing,0,2,3,0.0,0.0
adham,clearing,0,0,0,0.0,1330.2
adigrat,clearing,0,0,0,23.7,10054.2
adilabad,clearing,3,9,10,7401.1,44566.2
adirondacks,clearing,0,1,2,0.0,2279.8
adixoodagoorahareesh,clearing,0,2,3,0.0,29315.1
adjud,clearing,1,4,5,3333.3,15842.2
adlur,clearing,7,8,9,22542.9,112866.7
ado_ekiti,clearing,2,7,8,4599.6,33856.4
adoni,clearing,3,5,6,9940.8,40521.6
adony,clearing,2,5,6,6171.7,13246.6
adra,clearing,0,1,2,50.7,5682.1
adrada,clearing,0,1,2,154.6,5547.6
adranos,clearing,1,3,4,1959.8,16266.4
adraskan,clearing,0,1,2,29.5,5840.4
adshusheer,clearing,1,7,8,1597.6,35659.7
aduma,clearing,0,6,7,0.0,24685.0
adwa,clearing,0,4,5,1.1,24431.8
adyukh,clearing,0,4,5,108.4,22662.8
adyumba,clearing,0,5,6,0.0,20890.2
adzera,clearing,0,6,7,683.7,27060.5
aekyom,clearing,0,5,6,395.7,28689.0
aerzhai,clearing,0,2,3,65.1,8084.1
afade,clearing,1,4,5,2322.9,15790.5
afanasyevo,clearing,0,2,3,225.4,8550.0
afikpo,clearing,1,7,8,2582.4,26645.2
afmadow,clearing,0,3,4,0.0,9347.5
afrin,clearing,1,2,3,3311.9,9712.5
afsin,clearing,1,1,2,2565.7,7969.8
afso,clearing,0,0,0,1502.8,5651.4
aga,clearing,0,2,3,0.1,5021.7
agadez,clearing,0,2,3,0.0,0.0
agadir,clearing,0,3,4,1269.9,6408.9
agaes,clearing,0,8,9,0.0,11874.0
agai_ticutta,clearing,0,1,2,0.0,7398.5
agaidika,clearing,0,1,2,0.0,4759.8
agar,clearing,0,6,7,912.8,2248.1
agaro,clearing,0,3,4,32.0,24908.5
agartala,clearing,4,7,8,12374.6,79739.7
agatsuma,clearing,0,3,4,84.8,23194.3
agawa,clearing,0,5,6,74.7,26924.6
agawa_superior,clearing,0,1,2,0.0,2444.7
agawam,clearing,0,1,2,0.0,1961.5
agayakan,clearing,0,1,2,0.0,0.0
agbonle,clearing,0,5,6,539.0,22308.3
