location_tag,is_ownable,region,macro_region,natural_target_people,starting_target_people,maximum_target_people,attribute_flat_people,attribute_maximum_info_people,development,starting_model_people,maximum_model_people,start_exceeds_attribute_maximum
a_keis,True,southern_africa_region,southern_africa,10754.9,10754.9,10794.3,7500.0,9000.0,0.0,7500.0,27000.0,True
a_taw_bun_kut_en,True,alaska_region,north_america,2634.8,2634.8,11212.3,600.0,2100.0,0.0,600.0,24600.0,True
aa_kw,True,alaska_region,north_america,1275.4,1275.4,3727.7,0.0,0.0,0.0,0.0,7700.0,True
aabenraa,True,scandinavian_region,western_europe,25675.9,64246.4,98112.4,31300.0,128100.0,40.9,66000.0,135800.0,False
aaboukingon,True,east_coast_region,north_america,40113.2,42914.7,226067.8,25500.0,149100.0,4.7,26200.0,244400.0,False
aachen,True,north_german_region,western_europe,30356.6,77648.4,131558.5,29700.0,109500.0,54.7,71500.0,122700.0,False
aahkawiraahkata,True,great_plains_region,north_america,38866.3,41136.0,148240.6,29300.0,111400.0,8.2,29300.0,109000.0,False
aahkawirahkata,True,great_plains_region,north_america,9333.7,9333.7,38455.5,20000.0,53200.0,2.0,20000.0,69500.0,False
aakhoe,True,southern_africa_region,southern_africa,45374.7,45374.7,92281.8,22500.0,50500.0,0.0,22500.0,64300.0,False
aaku,True,aridoamerica_region,north_america,12942.1,13811.8,19802.4,4200.0,8400.0,3.1,5600.0,26600.0,True
aalborg,True,scandinavian_region,western_europe,25753.4,39851.1,90190.5,27400.0,107800.0,37.1,39500.0,118300.0,False
aalst,True,north_german_region,western_europe,32417.5,86118.7,147416.0,32400.0,146800.0,74.8,76000.0,158500.0,False
aankwaahsakwa,True,east_coast_region,north_america,42034.7,42104.6,248323.6,30500.0,138200.0,3.0,30500.0,131000.0,False
aarau,True,south_german_region,western_europe,30505.2,57939.1,135187.6,26300.0,94100.0,50.2,56800.0,120400.0,False
aarhus,True,scandinavian_region,western_europe,26516.3,59883.4,97797.2,30500.0,126600.0,36.9,64600.0,135000.0,False
aashbikkaashee,True,great_plains_region,north_america,5404.2,5404.2,19182.3,14900.0,35500.0,0.0,14900.0,48700.0,False
aashbiliihkupe,True,great_plains_region,north_america,6987.5,6987.5,30241.5,17300.0,56000.0,5.0,17300.0,68000.0,False
aashise,True,great_plains_region,north_america,7199.8,7199.8,31816.6,16700.0,54300.0,0.0,16700.0,64600.0,False
aays,True,aridoamerica_region,north_america,55818.5,56139.4,268691.2,25500.0,142900.0,10.3,25500.0,225800.0,False
aba_al_qur,True,arabia_region,middle_east,11134.1,11137.3,11137.8,7900.0,9200.0,6.3,7900.0,18400.0,True
abacoa,True,caribbean_region,north_america,35305.2,35305.2,138028.8,22400.0,55700.0,0.0,22400.0,193800.0,False
abadan,True,crescent_region,middle_east,8292.8,16467.0,31995.0,7900.0,33100.0,26.3,13500.0,51100.0,False
abadeh,True,persia_region,middle_east,8251.3,14039.4,17911.7,5200.0,9900.0,15.0,8000.0,27600.0,True
abadeh_tashk,True,persia_region,middle_east,9259.5,9879.8,20912.5,5100.0,18000.0,14.3,5100.0,29600.0,False
abaga,True,east_siberia_region,north_asia,591.8,591.8,591.8,600.0,2100.0,0.0,600.0,24600.0,False
abagaita,True,mongolia_region,east_asia,14990.5,14993.0,60101.4,19100.0,72400.0,8.7,19100.0,160700.0,False
abaiang_atoll,True,micronesia_region,pacific_islands,2872.7,2872.7,2872.7,9200.0,47800.0,0.0,9200.0,73700.0,False
abakasnk,True,west_siberia_region,north_asia,14001.9,14044.1,56989.7,8800.0,24300.0,0.3,8800.0,40500.0,False
abala,True,ethiopia_region,east_africa,14521.5,14527.9,22677.8,16100.0,24700.0,2.7,16100.0,39400.0,False
abalak,True,sahel_region,west_africa,5411.9,5411.9,5418.7,8900.0,10700.0,12.0,8900.0,28400.0,False
abalessa,True,maghreb_region,north_africa,7094.1,7094.1,7094.1,10900.0,17200.0,7.0,10900.0,28200.0,False
aban,True,west_siberia_region,north_asia,21259.1,21259.1,77659.7,15000.0,45400.0,0.0,15000.0,59600.0,False
abare_i,True,brazil_region,south_america,35760.7,35769.3,96046.7,27100.0,140400.0,1.0,27100.0,268200.0,False
abarkuh,True,persia_region,middle_east,7438.3,17155.1,22229.8,7500.0,9000.0,28.3,10300.0,18000.0,True
abashiri,True,japan_region,east_asia,31412.0,32702.2,97366.1,23500.0,77600.0,2.3,24200.0,97700.0,False
abau,True,melanesia_region,pacific_islands,29235.0,32307.7,114982.3,26000.0,99200.0,0.0,26700.0,228700.0,False
abbeville,True,france_region,western_europe,31908.8,136045.7,142595.5,32800.0,141200.0,74.4,132800.0,153500.0,False
abdanan,True,crescent_region,middle_east,34708.6,39890.2,78893.5,22900.0,51900.0,15.9,23600.0,57500.0,False
abdas,True,crescent_region,middle_east,17379.3,22550.2,42450.0,8200.0,30900.0,20.4,9700.0,54900.0,False
abdulino,True,ural_region,eastern_europe,42028.6,42429.7,96506.3,32500.0,78100.0,11.2,32500.0,93400.0,False
abe,True,japan_region,east_asia,26819.5,27105.5,141577.5,27800.0,106800.0,21.3,27800.0,110200.0,False
abemama_atoll,True,micronesia_region,pacific_islands,2721.5,2721.5,2721.5,9200.0,47800.0,0.0,9200.0,73700.0,False
abengourou,True,guinea_region,west_africa,24593.1,30400.9,78260.1,29100.0,90400.0,5.1,34300.0,108100.0,False
aberdeen,True,great_britain_region,western_europe,20749.7,84353.5,84353.5,22700.0,90700.0,77.5,87700.0,111700.0,False
aberfeldy,True,great_britain_region,western_europe,4323.5,16224.9,27540.1,2600.0,1700.0,61.7,11000.0,24700.0,True
aberystwyth,True,great_britain_region,western_europe,22458.3,86428.2,89464.0,20800.0,85800.0,59.3,84300.0,88700.0,True
abesehir,True,central_africa_region,central_africa,34803.3,34833.0,63358.2,32100.0,52900.0,0.4,32100.0,65300.0,False
abha,True,arabia_region,middle_east,14593.9,14788.4,30743.1,8500.0,9300.0,7.8,8500.0,33200.0,True
abhar,True,persia_region,middle_east,43307.5,43807.5,82299.9,13900.0,34000.0,24.1,13900.0,46300.0,True
abihka,True,east_coast_region,north_america,36226.0,36727.1,168356.0,24400.0,126700.0,3.3,24400.0,219500.0,False
abil,True,arabia_region,middle_east,4424.3,8488.8,13244.2,8500.0,9300.0,10.3,11300.0,19000.0,False
abimatinu,True,canada_region,north_america,4605.1,4605.1,31299.9,19500.0,60500.0,2.0,19500.0,78600.0,False
abingdon,True,great_britain_region,western_europe,31342.9,130514.6,156864.2,30700.0,127200.0,72.0,124300.0,137200.0,True
abisko,True,scandinavian_region,western_europe,1478.6,1478.6,1478.6,0.0,500.0,3.5,0.0,24000.0,True
abitau,True,alaska_region,north_america,1948.3,1948.3,5154.5,2100.0,13100.0,0.0,2100.0,34200.0,False
abiward,True,khorasan_region,central_asia,24388.3,24411.6,47836.6,14200.0,27600.0,11.5,14200.0,37600.0,False
abiy_addi,True,ethiopia_region,east_africa,29194.3,29790.4,69550.5,31400.0,58400.0,15.9,31400.0,137300.0,False
abiz,True,persia_region,middle_east,12852.0,13360.6,29948.1,5700.0,11900.0,13.4,5700.0,31800.0,True
abo,True,scandinavian_region,western_europe,21106.9,23235.7,73209.0,19200.0,61300.0,16.9,19900.0,80500.0,False
abomey,True,guinea_region,west_africa,30032.0,39573.3,75979.3,28000.0,82600.0,16.3,41600.0,191500.0,False
abong,True,central_africa_region,central_africa,29641.8,29674.9,80344.6,30300.0,90400.0,0.0,30300.0,109300.0,False
aborlan,True,indonesia_region,south_east_asia,34607.1,35311.9,237736.7,25600.0,93000.0,9.0,25600.0,110700.0,False
abrahamtelke,True,carpathia_region,eastern_europe,32941.4,52271.5,123689.9,30600.0,124500.0,40.5,54700.0,133500.0,False
abu,True,japan_region,east_asia,32448.7,42454.9,268278.5,24600.0,135900.0,25.4,24600.0,223000.0,False
abu_dhabi,True,arabia_region,middle_east,9867.8,9867.8,9867.8,7900.0,9200.0,4.6,7900.0,27400.0,True
abu_hamed,True,nubia_region,east_africa,9213.0,9926.0,11545.0,7900.0,9200.0,8.9,7900.0,22400.0,True
abu_kemal,True,crescent_region,middle_east,8145.2,16413.2,23581.1,7900.0,9200.0,22.7,14700.0,32800.0,True
abu_qasr,True,arabia_region,middle_east,11415.5,11415.5,11415.5,7900.0,9200.0,7.1,7900.0,18400.0,True
abu_rakah,True,arabia_region,middle_east,7932.4,7932.5,9276.5,9900.0,15700.0,8.1,9900.0,27200.0,False
abun,True,melanesia_region,pacific_islands,24671.1,24677.0,99309.5,17400.0,69900.0,0.0,17400.0,93800.0,False
aburra,True,colombia_region,south_america,24247.6,26865.5,98535.2,10600.0,34600.0,5.3,10600.0,54300.0,False
abuta,True,japan_region,east_asia,24106.9,24454.6,96168.7,23900.0,86800.0,0.0,23900.0,97700.0,False
abutua,True,zimbabwe_region,southern_africa,70205.6,70263.7,255751.0,43800.0,105000.0,0.0,43800.0,117300.0,False
abyy,True,east_siberia_region,north_asia,76.5,76.5,76.5,2300.0,13100.0,0.0,2300.0,34400.0,False
acambaro,True,mesoamerica_region,north_america,48732.4,130762.2,200218.0,28100.0,78100.0,30.3,70700.0,183900.0,True
acanti,True,colombia_region,south_america,16353.9,28685.9,60073.4,24900.0,88200.0,18.9,35500.0,178400.0,False
acaponeta,True,aridoamerica_region,north_america,35771.3,76833.3,293318.4,29100.0,95100.0,16.1,61000.0,200000.0,False
acarau,True,brazil_region,south_america,29646.0,29646.0,66854.5,31100.0,91700.0,0.0,31100.0,138000.0,False
acari,True,andes_region,south_america,15289.7,20738.7,37620.2,7900.0,10400.0,10.0,10700.0,24000.0,True
acasaguastlan,True,central_america_region,north_america,33504.6,36898.4,124218.0,23700.0,60900.0,7.4,23700.0,161000.0,False
acatic,True,mesoamerica_region,north_america,66075.9,151770.3,285766.1,31400.0,108600.0,39.2,87600.0,202600.0,True
acayucan,True,mesoamerica_region,north_america,44443.1,156725.0,332357.7,30600.0,139500.0,34.0,118800.0,264600.0,True
accomac,True,east_coast_region,north_america,36050.2,49377.9,225202.3,20500.0,106500.0,5.3,31100.0,204200.0,False
accra,True,guinea_region,west_africa,26825.5,43376.9,77532.6,29100.0,95100.0,14.9,47900.0,200000.0,False
acerenza,True,italy_region,western_europe,27909.1,115123.4,132698.5,30300.0,112700.0,59.5,105600.0,105600.0,True
achacachi,True,andes_region,south_america,4722.6,4722.6,5398.4,4100.0,6700.0,5.8,4100.0,25600.0,False
achachiwa,True,andes_region,south_america,12611.8,12611.8,29073.7,10200.0,23600.0,3.2,10200.0,34200.0,False
achaivayam,True,east_siberia_region,north_asia,1343.6,1343.6,2152.2,600.0,2200.0,0.0,600.0,24600.0,False
achaka,True,east_siberia_region,north_asia,408.2,408.2,408.2,1000.0,500.0,0.0,1000.0,26000.0,False
acham,True,hindustan_region,south_asia,23154.6,23621.4,77516.3,20100.0,102900.0,27.9,20100.0,98400.0,False
achan,True,manchuria_region,east_asia,21659.3,21788.7,70457.6,18800.0,94000.0,10.6,18800.0,300900.0,False
achava,True,east_siberia_region,north_asia,5414.9,5414.9,21276.6,600.0,2200.0,0.0,600.0,26800.0,True
achen,True,la_plata_region,south_america,15967.0,15967.1,49896.4,11200.0,36400.0,0.0,11200.0,59300.0,False
achikamii,True,canada_region,north_america,3868.6,3868.6,21231.3,18200.0,59900.0,2.0,18200.0,77300.0,False
achim,True,north_german_region,western_europe,33401.0,195412.2,219198.3,26800.0,113100.0,82.1,120500.0,127300.0,True
achit_nuur,True,mongolia_region,east_asia,10153.3,10257.5,15608.1,5700.0,11900.0,0.5,5700.0,34600.0,False
acholi,True,great_lakes_region,east_africa,36161.2,36174.5,68776.3,38900.0,96200.0,5.1,38900.0,205100.0,False
achomawi,True,west_coast_region,north_america,5880.3,5880.3,20172.0,18600.0,54200.0,0.0,18600.0,60500.0,False
aco,True,kongo_region,central_africa,35512.2,35512.2,161209.0,33600.0,111900.0,3.1,33600.0,202700.0,False
aconca_hue,True,andes_region,south_america,19639.4,20119.7,54458.7,19300.0,46100.0,10.2,19300.0,55300.0,False
aconchi,True,aridoamerica_region,north_america,25981.7,29694.2,113800.5,26400.0,67200.0,1.8,26400.0,85500.0,False
aconquija,True,andes_region,south_america,19264.3,19266.6,83762.2,17500.0,48200.0,4.1,17500.0,61100.0,False
acoroazes,True,brazil_region,south_america,27057.9,27071.2,54704.9,29900.0,68100.0,0.1,29900.0,79400.0,False
acqui,True,italy_region,western_europe,27649.4,95150.7,117506.5,20000.0,128500.0,59.7,81800.0,230700.0,False
acre,True,crescent_region,middle_east,50389.6,61935.8,105478.6,32000.0,115500.0,42.4,41100.0,119600.0,False
acroas,True,brazil_region,south_america,42826.6,42827.5,87411.9,36200.0,82100.0,0.0,36200.0,209800.0,False
acteon,True,polynesia_region,pacific_islands,1047.8,1047.8,1047.8,9200.0,48300.0,0.0,9200.0,73700.0,False
acuera,True,east_coast_region,north_america,42689.1,44731.0,262306.9,27800.0,159600.0,4.8,29900.0,321600.0,False
ad_dawasir,True,arabia_region,middle_east,10823.6,10823.6,10823.6,10900.0,17200.0,5.5,10900.0,25400.0,False
ad_dilam,True,arabia_region,middle_east,11178.5,11178.5,11178.5,10900.0,17200.0,25.3,10900.0,28200.0,False
ad_disah,True,arabia_region,middle_east,11428.5,11428.5,11428.5,7000.0,5800.0,2.1,7000.0,18900.0,True
ad_dughmiyah,True,arabia_region,middle_east,9946.1,9946.1,9946.1,9500.0,10800.0,21.7,9500.0,20000.0,False
adachi,True,japan_region,east_asia,18939.8,42218.1,166709.1,31400.0,124600.0,22.0,34800.0,131100.0,False
adachi_kanto,True,japan_region,east_asia,18242.7,92483.1,374807.9,26500.0,171800.0,51.3,105700.0,317700.0,False
adakli,True,caucasus_region,eastern_europe,28005.5,28905.3,71259.8,27200.0,53500.0,12.4,27200.0,68400.0,False
adalaga,True,steppes_region,eastern_europe,26782.2,28036.4,93474.2,29200.0,103900.0,13.5,29900.0,112300.0,False
adan,True,arabia_region,middle_east,11014.8,11014.8,11014.8,8900.0,10700.0,31.3,8900.0,28400.0,True
adana,True,anatolia_region,middle_east,41709.9,86263.5,109560.7,29300.0,63300.0,56.5,70500.0,88200.0,True
adanki,True,deccan_region,south_asia,37941.4,67764.9,194453.9,33100.0,115200.0,30.9,60200.0,110200.0,False
adare,True,ireland_region,western_europe,22897.9,27504.4,69342.4,20600.0,83500.0,19.0,21300.0,91700.0,False
addu_atoll,True,deccan_region,south_asia,747.1,747.1,747.1,9200.0,47900.0,22.5,9200.0,73700.0,False
adena,True,east_coast_region,north_america,40006.1,45185.4,222391.7,25500.0,138200.0,2.2,25500.0,131900.0,False
adeqiu,True,south_china_region,east_asia,8275.3,9856.1,21143.6,9200.0,22100.0,36.3,9200.0,40900.0,False
aderbissinat,True,sahel_region,west_africa,6175.9,6996.5,7017.6,8900.0,10700.0,29.7,10300.0,28400.0,False
adham,True,arabia_region,middle_east,9929.6,9929.9,12651.6,7400.0,5600.0,8.9,7400.0,19300.0,True
adigrat,True,ethiopia_region,east_africa,16523.2,16553.4,35607.1,22000.0,48500.0,3.6,22000.0,43100.0,False
adilabad,True,deccan_region,south_asia,24459.1,65782.1,207642.9,32600.0,110400.0,28.1,63300.0,183900.0,False
adirondacks,True,east_coast_region,north_america,27095.8,27095.8,99998.1,16700.0,58400.0,0.0,16700.0,68100.0,False
adixoodagoorahareesh,True,great_plains_region,north_america,11294.5,11295.1,54416.6,23300.0,72400.0,6.0,23300.0,86900.0,False
adjud,True,carpathia_region,eastern_europe,29310.2,47454.2,119072.0,29500.0,115500.0,20.3,51500.0,120300.0,False
