from,to,state,shore
pp_nav_00001,kengdey,navigable,True
pp_nav_00002,pp_nav_00003,navigable,False
pp_nav_00002,olenegorsk,navigable,True
pp_nav_00002,cokuurdaax,navigable,True
pp_nav_00003,pp_nav_00005,navigable,False
pp_nav_00003,vorontsovo,navigable,True
pp_nav_00003,olenegorsk,navigable,True
pp_nav_00003,nicalaax,navigable,True
pp_nav_00004,pp_nav_00007,navigable,False
pp_nav_00004,dudinka,navigable,True
pp_nav_00005,vorontsovo,navigable,True
pp_nav_00006,molodo,navigable,True
pp_nav_00007,pp_nav_00013,navigable,False
pp_nav_00007,dudinka,navigable,True
pp_nav_00008,pp_nav_00012,navigable,False
pp_nav_00008,inuviq,navigable,True
pp_nav_00009,khargytyr,improvable,True
pp_nav_00010,zharzhan,navigable,True
pp_nav_00011,pp_nav_00015,navigable,False
pp_nav_00011,kurung_yuryakh,navigable,True
pp_nav_00012,pp_nav_00016,navigable,False
pp_nav_00012,inuviq,navigable,True
pp_nav_00012,tuktoyukiuq,navigable,True
pp_nav_00013,pp_nav_00017,navigable,False
pp_nav_00013,dudinka,navigable,True
pp_nav_00014,pp_nav_00019,improvable,False
pp_nav_00014,kolymskoie,improvable,True
pp_nav_00014,omoloon,improvable,True
pp_nav_00014,timkino,improvable,True
pp_nav_00015,pp_nav_00018,navigable,False
pp_nav_00015,tuyandina,navigable,True
pp_nav_00015,kurung_yuryakh,navigable,True
pp_nav_00015,khachimcher,navigable,True
pp_nav_00016,pp_nav_00020,navigable,False
pp_nav_00016,inuviq,navigable,True
pp_nav_00017,dudinka,navigable,True
pp_nav_00018,tuyandina,navigable,True
pp_nav_00018,abyy,navigable,True
pp_nav_00019,omoloon,improvable,True
pp_nav_00020,aklaviq,navigable,True
pp_nav_00020,inuviq,navigable,True
pp_nav_00021,pp_nav_00023,navigable,False
pp_nav_00021,tuyandina,navigable,True
pp_nav_00021,abyy,navigable,True
pp_nav_00021,esteriktyaax,navigable,True
pp_nav_00022,pp_nav_00023,improvable,False
pp_nav_00022,pp_nav_00024,improvable,False
pp_nav_00022,syagannaax,improvable,True
pp_nav_00023,syagannaax,navigable,True
pp_nav_00023,abyy,navigable,True
pp_nav_00024,syagannaax,improvable,True
pp_nav_00025,pp_nav_00027,navigable,False
pp_nav_00025,khantayskoye,navigable,True
pp_nav_00025,dudinka,navigable,True
pp_nav_00026,pp_nav_00028,navigable,False
pp_nav_00026,dyryn_ebe,navigable,True
pp_nav_00026,kal_gatana,navigable,True
pp_nav_00026,kholongsolokh,navigable,True
pp_nav_00027,pp_nav_00036,navigable,False
pp_nav_00027,khantayskoye,navigable,True
pp_nav_00028,dyryn_ebe,navigable,True
pp_nav_00028,kal_gatana,navigable,True
pp_nav_00028,nalimsk,navigable,True
pp_nav_00029,mangazeya,navigable,True
pp_nav_00029,messoyakha,navigable,True
pp_nav_00030,pp_nav_00033,navigable,False
pp_nav_00030,xatingnaax,navigable,True
pp_nav_00030,nalimsk,navigable,True
pp_nav_00031,pustozersk,navigable,True
pp_nav_00032,pp_nav_00047,navigable,False
pp_nav_00032,pur,navigable,True
pp_nav_00033,pp_nav_00045,navigable,False
pp_nav_00033,xatingnaax,navigable,True
pp_nav_00033,sededema,navigable,True
pp_nav_00034,ob,navigable,True
pp_nav_00035,kulun_olbut,improvable,True
pp_nav_00036,pp_nav_00042,navigable,False
pp_nav_00036,khantayskoye,navigable,True
pp_nav_00037,ob,navigable,True
pp_nav_00038,khantayskoye,navigable,True
pp_nav_00039,pp_nav_00054,navigable,False
pp_nav_00039,pustozersk,navigable,True
pp_nav_00040,pp_nav_00050,navigable,False
pp_nav_00040,jigansk,navigable,True
pp_nav_00040,kystatyam,navigable,True
pp_nav_00041,shchuchya,navigable,True
pp_nav_00042,pp_nav_00044,navigable,False
pp_nav_00042,khantayskoye,navigable,True
pp_nav_00043,pp_nav_00049,improvable,False
pp_nav_00043,shchuchya,navigable,True
pp_nav_00044,pp_nav_00048,navigable,False
pp_nav_00044,khantayskoye,navigable,True
pp_nav_00045,sededema,navigable,True
pp_nav_00046,pp_nav_00052,improvable,False
pp_nav_00046,kittila,improvable,True
pp_nav_00046,rovaniemi,improvable,True
pp_nav_00046,sodankyla,improvable,True
pp_nav_00047,pp_nav_00056,navigable,False
pp_nav_00047,pur,navigable,True
pp_nav_00048,pp_nav_00053,navigable,False
pp_nav_00048,khantayskoye,navigable,True
pp_nav_00049,shchuchya,improvable,True
pp_nav_00049,shuryshkar,improvable,True
pp_nav_00050,jigansk,navigable,True
pp_nav_00050,bakhanay,navigable,True
pp_nav_00050,kystatyam,navigable,True
pp_nav_00051,chalkyitsik,improvable,True
pp_nav_00052,pp_nav_00061,improvable,False
pp_nav_00052,rovaniemi,navigable,True
pp_nav_00053,pp_nav_00060,navigable,False
pp_nav_00053,erachimo,navigable,True
pp_nav_00053,khantayskoye,navigable,True
pp_nav_00054,pustozersk,navigable,True
pp_nav_00055,pp_nav_00069,navigable,False
pp_nav_00055,shuryshkar,navigable,True
pp_nav_00056,pp_nav_00070,navigable,False
pp_nav_00056,pur,navigable,True
pp_nav_00057,pp_nav_00072,navigable,False
pp_nav_00057,mackenzie,navigable,True
pp_nav_00057,good_hope,navigable,True
pp_nav_00058,shuryshkar,navigable,True
pp_nav_00059,tala_kyuyel,navigable,True
pp_nav_00060,pp_nav_00068,improvable,False
pp_nav_00060,pp_nav_00071,navigable,False
pp_nav_00060,erachimo,navigable,True
pp_nav_00060,turukhansk,navigable,True
pp_nav_00061,rovaniemi,improvable,True
pp_nav_00062,pp_nav_00063,improvable,False
pp_nav_00062,pp_nav_00068,improvable,False
pp_nav_00062,erachimo,improvable,True
pp_nav_00063,erachimo,navigable,True
pp_nav_00064,bodebyn,improvable,True
pp_nav_00064,branna,improvable,True
pp_nav_00065,pp_nav_00075,improvable,False
pp_nav_00065,tala_kyuyel,navigable,True
pp_nav_00065,ziryanka,navigable,True
pp_nav_00065,utaya,navigable,True
pp_nav_00066,barents_sea10,navigable,False
pp_nav_00066,okladnikova_sloboda,navigable,True
pp_nav_00067,pravaya_khetta,navigable,True
pp_nav_00068,erachimo,improvable,True
pp_nav_00068,turukhansk,improvable,True
pp_nav_00069,shuryshkar,navigable,True
pp_nav_00070,yevoyakha,navigable,True
pp_nav_00070,pur,navigable,True
pp_nav_00071,pp_nav_00083,navigable,False
pp_nav_00071,erachimo,navigable,True
pp_nav_00071,turukhansk,navigable,True
pp_nav_00072,good_hope,navigable,True
pp_nav_00073,pp_nav_00078,improvable,False
pp_nav_00073,rampart,navigable,True
pp_nav_00073,allakaket,navigable,True
pp_nav_00074,pp_nav_00080,improvable,False
pp_nav_00074,circle,navigable,True
pp_nav_00075,ziryanka,improvable,True
pp_nav_00076,voikar,navigable,True
pp_nav_00077,ust_tsilma,navigable,True
pp_nav_00078,pp_nav_00082,improvable,False
pp_nav_00078,rampart,improvable,True
pp_nav_00078,tanana,improvable,True
pp_nav_00078,allakaket,improvable,True
pp_nav_00079,pechora,navigable,True
pp_nav_00080,circle,improvable,True
pp_nav_00081,pp_nav_00094,navigable,False
pp_nav_00081,voikar,navigable,True
pp_nav_00082,pp_nav_00086,barrier,False
pp_nav_00082,grant_creek,navigable,True
pp_nav_00082,tanana,navigable,True
pp_nav_00083,pp_nav_00101,navigable,False
pp_nav_00083,turukhansk,navigable,True
pp_nav_00084,pp_nav_00086,barrier,False
pp_nav_00084,pp_nav_00087,navigable,False
pp_nav_00084,grant_creek,navigable,True
pp_nav_00085,pechora,navigable,True
pp_nav_00086,grant_creek,barrier,True
pp_nav_00086,tanana,barrier,True
pp_nav_00087,grant_creek,navigable,True
pp_nav_00087,birches,navigable,True
pp_nav_00088,keelivtyn,navigable,True
pp_nav_00089,pp_nav_00102,navigable,False
pp_nav_00089,voikar,navigable,True
pp_nav_00089,zazhimchar,navigable,True
pp_nav_00090,koyukuk,navigable,True
pp_nav_00091,pp_nav_00093,improvable,False
pp_nav_00091,mahony,improvable,True
pp_nav_00092,rampart,navigable,True
pp_nav_00092,tanana,navigable,True
pp_nav_00093,mahony,improvable,True
pp_nav_00094,voikar,navigable,True
pp_nav_00094,kunovat,navigable,True
pp_nav_00095,birches,barrier,True
pp_nav_00096,pp_nav_00104,navigable,False
pp_nav_00096,tulita,navigable,True
pp_nav_00096,mahony,navigable,True
pp_nav_00097,pp_nav_00103,improvable,False
pp_nav_00097,glukharinyi,navigable,True
pp_nav_00098,koyukuk,navigable,True
pp_nav_00099,chena,navigable,True
pp_nav_00100,chena,improvable,True
pp_nav_00101,pp_nav_00110,navigable,False
pp_nav_00101,inbatskoye,navigable,True
pp_nav_00101,turukhansk,navigable,True
pp_nav_00102,pp_nav_00108,navigable,False
pp_nav_00102,zazhimchar,navigable,True
