location_tag,river_level,original_coastal
pagan,5,False
borg,3,True
berbela,3,False
yinshaluo,3,False
katzenelnbogen,3,False
uyana,4,False
teocak,3,False
perm,3,False
chopim,3,False
chopim,4,False
urzhum,3,False
yanci,1,False
ncando,3,False
kyiv,2,False
kyiv,3,False
kyiv,5,False
khagaria,4,False
khagaria,5,False
mingyi,3,False
mingyi,5,False
gushan,3,False
bayan_susu,3,False
waluulapam,3,False
mattawa,1,False
mattawa,3,False
melenki,3,False
bondo,3,False
budaun,3,False
pangyang,4,False
yaporox,2,False
huili,4,False
kuanhe,3,False
sosnovy_ostrov,5,False
tumul,4,False
piumhi,3,False
anding_mashan,3,False
anding_mashan,4,False
koskoak,3,False
koskoak,5,False
ongoulastoga,3,False
chan_bo,3,True
yicheng,3,False
shizhao,3,False
shizhao,4,False
shizhao,5,False
palmas,5,False
jambi,3,False
donjek,3,False
staraya_mayna,4,False
ouasioto,4,False
amrabad,3,False
imbangala,3,False
shimian,3,False
ankoro,3,False
ankoro,4,False
tenggarong,4,False
lichtenberg,3,False
beaupreau,3,False
chapeco,3,False
jaboticabal,3,False
mobile,4,True
zamyany,5,False
umbra,3,False
koyukuk,3,False
koyukuk,4,False
charagua,3,False
tumba_ikoko,5,False
bombwi,3,False
ahrweiler,3,False
ahrweiler,4,False
jiyang,3,False
campo_mourao,3,False
minqing,3,False
penaca,1,False
penaca,3,False
yun,3,False
peribonka,3,False
pak_huei_lang,5,False
luling,3,False
godagari,5,False
niagara,1,True
niagara,4,True
niagara,5,True
vientiane,4,False
vientiane,5,False
jaiba,4,False
kaharlyk,3,False
iguazu,3,False
khamra,4,False
cangwu,3,False
cangwu,4,False
cangwu,5,False
satapo,3,False
karor,4,False
pithapuram,4,True
shendi,4,False
pankshin,5,False
devarakonda,3,False
kittila,3,False
nikopol,4,False
nikopol,5,False
bonanza,4,False
kaiguang,3,False
torun,3,False
taliepacana,3,False
quipana,3,False
batang,3,False
carasova,5,False
cerwecerna,3,False
cantagalo,3,False
ntiltxitk,4,False
ntiltxitk,5,False
vukovar,4,False
vukovar,5,False
barretos,3,False
barretos,5,False
magdeburg,3,False
lanzhou_lanzhou,3,False
coutins,3,True
krebedje,4,False
krebedje,5,False
koksharov,3,False
fiorenzuola,2,False
fiorenzuola,3,False
fiorenzuola,5,False
sariang,4,False
ruhptare,1,False
mainz,2,False
mainz,3,False
mainz,5,False
sylhet,3,False
qiaojia,4,False
qiaojia,5,False
mullheim,3,False
tit_ary,4,False
tit_ary,5,False
chandpur,4,True
chandpur,5,True
bogatye_saby,3,False
hajduszoboszlo,3,False
daya_kathyn,3,False
daya_kathyn,4,False
sletewsi,3,False
mukalombo,3,False
mukalombo,5,False
pahang,3,True
juque,3,False
juque,4,False
juque,5,False
avignon,3,False
pokrovskoye,1,False
pokrovskoye,4,False
pokrovskoye,5,False
nerekhta,3,False
kuozhou,4,False
kuozhou,5,False
sao_fidelis,5,False
zahuatan,4,False
yuanmou,4,False
shoma,3,False
pangu,3,False
lipno,3,False
tsivilsk,4,False
sime,5,False
sanyyakhtakh,4,False
sanyyakhtakh,5,False
gunaaxoo,3,True
dayao,3,False
mistanipi,3,False
pandua,3,False
khoja_idat_kala,3,False
shawanoe,3,False
sepauk,4,False
south_juma,3,False
jianchang_sichuan,3,False
wujiang_bozhou,3,False
barchkend,3,False
changqing,3,False
pelly_faro,3,False
youdian,3,False
yuechi,3,False
mengban_weiyuan,3,False
banan,5,False
lokera,1,False
lokera,5,False
moksobo,4,False
srey_sarchhor,5,False
dadandang,3,False
taquara,3,False
xiangshan_xinhui,5,True
xinhui,5,True
gujrat,3,False
kara,3,False
kara,4,False
kataka,1,False
kataka,4,False
pakpattan,3,False
dambwe,3,False
mailsi,3,False
ismail,4,False
ismail,5,False
korti,3,False
qerri,4,False
porto,3,True
gao,3,False
gotheye,3,False
kilmez,3,False
kilmez,5,False
jinglong,3,False
jinglong,4,False
jinglong,5,False
massabo,3,True
kuanda,3,False
yunnei,3,False
dobyaz,1,False
dobyaz,4,False
dobyaz,5,False
quigualtam,5,False
branicevo,4,False
branicevo,5,False
tyagacho,3,False
gongan,5,False
ksituan,3,False
hanguang,3,False
hanguang,5,False
ust_tsimla,3,False
babana,3,False
ikryanoye,5,True
puge,4,False
puge,5,False
palisema,3,False
kovin,5,False
nudarcha,3,False
nudarcha,5,False
rudrapur,4,False
chinchaga,3,False
xuanhua_nanning,3,False
xuanhua_nanning,5,False
kinabatangan,3,True
coiracoentanon,3,False
arnhem,4,False
jolom_konob,3,False
krasny_yar,5,True
yenotayevka,5,False
mohacs,4,False
yunkyur,4,False
zolotonosha,5,False
ostiglia,3,False
chabcha,3,False
xiangtan,4,False
vyadhapura,5,False
pontianak,4,True
linz,3,False
macha,4,False
coyaima,3,False
imangaq,4,True
nichabau,3,False
shwegu,3,False
shwegu,4,False
shwegu,5,False
irakinda,3,False
tuyen_quang,3,False
kampong_sraka_trey,3,False
ardatov,3,False
navidakh,3,False
mawkmai,4,False
hmawbi,5,False
moana_mussumba,4,False
ensisheim,3,False
tanah_putih,3,False
rastyapino,3,False
lanxi,3,False
weithali,3,False
nunu,3,False
baak,4,False
seyat,3,False
poligus,3,False
poligus,5,False
rouen,3,False
moosonee,3,True
changning_changning,4,False
licheng,3,False
peledui,3,False
kolomna,3,False
amersfoort,4,True
caratinga,3,False
qianwei,4,False
otrar,3,False
otrar,5,False
watang,3,False
sekkosi,3,False
tubigarao,3,False
pengshan,3,False
salaspils,3,True
wakmua_oin,3,False
gaoyuan_jinan,3,False
tuol_ta_mouk,3,False
sillanwali,3,False
palampet,4,False
palampet,5,False
naserpur,4,False
sonepur,3,False
sonepur,4,False
kapurthala,5,False
khurda,1,False
dajal,4,False
tungi,4,True
chedzurgwe,3,False
chedzurgwe,5,False
gambo,3,False
omdurman,3,False
omdurman,4,False
omdurman,5,False
fashoda,3,False
fashoda,4,False
fashoda,5,False
gimbi,3,False
dargol,3,False
goudel,3,False
lukenie,3,False
kongsvinger,3,False
tboung_khmum,5,False
zhengcheng,3,False
zhengcheng,5,False
kunjabangarh,4,False
banjar,5,True
yinshan,3,False
strasbourg,3,False
langqu,3,False
manmaw,4,False
talang_mamak,3,False
talang_mamak,5,False
binchuan,3,False
binchuan,5,False
solt,4,False
doboj,3,False
gaoyao,5,False
sarahan,3,False
basel,3,False
shakhty,3,False
musi_hilir,4,True
miskolc,3,False
lengshuitan,3,False
burg,3,False
sagaing,4,False
comacchio,3,True
tangdan,4,False
tangdan,5,False
tombigbee,3,False
hachberg,3,False
hanyang,3,False
farkhor,3,False
scharding,3,False
mushikitee,3,False
north_juma,4,False
north_juma,5,False
linxiang,5,False
khoro,3,False
chornobyl,3,False
chornobyl,5,False
zhangqiu,3,False
menahkwesk,5,True
wittenberge,3,False
bishan,4,False
bishan,5,False
zhiziluo,3,False
niobrara,3,False
ingapu,5,False
shtax_heen,3,True
south_letota,1,False
south_letota,3,False
opimika,5,False
quinnipiac,3,True
prayag,3,False
prayag,4,False
prayag,5,False
kitete,3,False
bohai,1,False
bohai,3,False
maubin,5,True
gomsi,4,False
daye,5,False
gengma,3,False
prasat_thong_lang,3,False
lubile,3,False
siyom,5,False
bol_shaya_martynovka,3,False
lom,4,False
butalin,4,False
amazar,3,False
koostaaka,3,False
khampa,3,False
amonokoa,3,False
amonokoa,5,False
voskresenskoye,4,False
miketo,1,False
qianjiang,3,False
yunlong,3,False
kreuznach,3,False
hehe,3,False
kutai_lama,4,True
otatitlan,3,False
kasekete,3,False
kasekete,4,False
kot_addu,3,False
kot_addu,4,False
matope,3,False
mukariva,3,False
mukariva,5,False
jhang,3,False
milange,3,False
kohtali,3,False
athmallik,4,False
bumbuzi,3,False
mutota,4,False
cuama,4,True
attock,3,False
attock,4,False
kpalime,3,False
nnewi,4,False
shemkhiya,4,False
soba,3,False
katsina_ala,3,False
katsina_ala,4,False
katsina_ala,5,False
fifinda,3,True
goundam,3,False
libore,3,False
say,3,False
yongping_yongchang,3,False
muxima_ayo,3,False
jiangan,4,False
mayen,3,False
mayen,4,False
kolymskoie,3,False
samarchyk,5,False
sumgut_vosh,5,False
dingyuan_lingzhou,3,False
winsen,3,False
baja_hungary,4,False
brahin,3,False
vyatskiye_polyany,3,False
nanchong,3,False
kale,4,False
moingwena,4,False
taihe_taihe,3,False
itabira,3,False
waingmaw,3,False
waingmaw,5,False
luzhang,3,False
muang_thaeng,3,False
belgrad,3,False
belgrad,4,False
cameroons,3,True
zalon_taung,4,False
bapunu,3,True
naungyo,5,False
enhe_hada,3,False
huacrachuco,3,False
mukdahan,4,False
nanxi,4,False
dzingcho,3,False
tinjar,5,False
chibwe,3,False
gorokhovets,3,False
cuango,3,False
mong_yai,4,False
tindirma,3,False
niah,3,True
kyakhta,3,False
golo_muiassa,5,False
pachan,5,False
wabasca,3,False
piantouguan,3,False
molodo,5,False
batchingou,3,False
ilucan,3,False
namieta,3,False
nizhny_novgorod,3,False
nizhny_novgorod,4,False
nizhny_novgorod,5,False
keta,3,True
horoshino,5,False
ouaka,4,False
waawiiyaataanong,5,True
baram,3,False
skitsetsen,3,False
skitsetsen,5,False
kanna,4,False
lahei,3,False
lahei,5,False
otun,3,False
eldikan,4,False
laskarpur,4,False
ngoc_ma,4,False
tiou,3,False
chena,3,False
cuttaway,3,False
fort_simpson,4,False
kibi,3,False
muskingum,3,False
muskingum,5,False
apucarana,3,False
mengtong,3,False
naguatex,3,False
naguatex,5,False
guiyang_hengyang,3,False
terbyas,3,False
zhaushikumtobe,3,False
lijin,3,True
nahanni,5,False
youyang,3,False
youyang,5,False
tata,4,False
tata,5,False
pocasse,1,False
pocasse,3,False
utsutigway,3,False
pinoh,3,False
okobojo,3,False
sochaczew,3,False
