location_tag,river_level,x,y,distance_pixels
pagan,5,12010,3669,1.0
borg,3,8188,1257,1.0
katzenelnbogen,3,8038,1892,1.0
uyana,4,13792,951,1.0
teocak,5,8571,2248,1.0
perm,3,10212,1370,1.0
yazoo,5,3561,2998,1.0
urzhum,3,9987,1429,1.0
yanci,1,13052,2720,1.0
kyiv,5,9079,1877,2.8284271247461903
khagaria,5,11631,3419,1.0
mingyi,5,12329,3348,1.0
gushan,3,12336,2801,1.0
bayan_susu,3,13504,2174,1.0
waluulapam,3,2278,2160,1.0
mattawa,3,4093,2135,1.0
melenki,3,9604,1535,1.0
budaun,3,11296,3289,1.0
pangyang,4,12178,3565,1.0
huili,4,12377,3343,1.0
kuanhe,5,13459,1798,1.0
sosnovy_ostrov,5,9894,1719,1.0
tumul,4,13859,1111,1.0
anding_mashan,4,12622,3504,1.0
koskoak,5,4524,1374,1.0
ongoulastoga,3,3673,2860,1.0
quge,3,12288,2887,1.0
yicheng,3,12797,3049,1.0
shizhao,5,12531,3152,1.0
palmas,5,5314,6286,2.23606797749979
staraya_mayna,4,9914,1595,1.0
ouasioto,4,3943,2651,1.0
sagadahoc,3,4509,2308,1.0
shimian,3,12341,3186,1.0
lichtenberg,3,8063,1980,1.0
beaupreau,3,7643,2085,1.0
chapeco,3,5281,6365,1.0
mobile,4,3683,3103,1.0
zamyany,5,9863,2122,1.0
koyukuk,4,511,809,1.0
tumba_ikoko,5,8438,5015,1.0
ahrweiler,4,8017,1869,1.0
jiyang,3,13027,2736,1.0
minqing,3,13099,3371,1.0
penaca,5,3540,2367,1.0
yun,3,12731,2988,1.0
pak_huei_lang,5,12382,3848,1.0
godagari,5,11711,3477,1.0
niagara,5,4089,2360,1.0
jaiba,4,5686,5680,1.0
kaharlyk,3,9088,1900,1.0
st_ambroix,3,7900,2283,1.0
khamra,4,12887,1179,1.0
satapo,5,3841,2808,1.0
mahoning_oh,1,4027,2512,1.0
karor,4,10914,3077,1.0
shendi,4,9227,3901,1.0
kittila,3,8848,675,1.0
nikopol,5,8839,2322,1.0
bonanza,4,1329,907,1.0
kaiguang,3,12723,2660,1.0
torun,3,8521,1699,1.0
taliepacana,3,3685,3002,1.0
quipana,3,3437,2836,1.0
batang,3,12201,3158,1.0
carasova,5,8663,2247,1.0
cerwecerna,5,3103,2254,1.0
ntiltxitk,5,2331,1956,1.0
vukovar,5,8549,2207,2.0
magdeburg,3,8221,1763,1.0
lanzhou_lanzhou,3,12204,3334,1.0
danyang,5,13144,3033,1.0
krebedje,5,8569,4564,1.0
yaroslavl,3,9527,1368,1.0
fiorenzuola,5,8141,2234,2.8284271247461903
ruhptare,1,3096,2090,1.0
mainz,5,8066,1913,3.1622776601683795
qiaojia,5,12384,3311,1.4142135623730951
mullheim,3,8035,2060,1.4142135623730951
durlach,3,8069,1977,1.0
tit_ary,5,13466,1110,1.0
chandpur,5,11816,3540,1.0
bogatye_saby,3,10007,1461,1.0
hajduszoboszlo,3,8649,2060,1.0
daya_kathyn,4,10556,2588,1.0
sletewsi,3,2347,1978,1.0
juque,5,12325,3354,1.0
avignon,3,7912,2303,1.4142135623730951
pokrovskoye,5,9919,1647,2.23606797749979
nerekhta,3,9560,1381,1.0
bidzhan,4,13646,2021,1.0
kuozhou,5,12373,3330,1.0
yuanmou,5,12329,3393,1.0
kasuswapaskau,5,4508,1381,1.0
pangu,3,13348,1684,1.0
lipno,3,8551,1716,1.0
tsivilsk,4,9870,1490,1.0
sanyyakhtakh,5,13350,1151,1.0
gunaaxoo,3,1400,1258,1.0
dayao,3,12296,3371,1.0
baling,5,12848,3182,1.0
mistanipi,3,4564,1535,1.0
khoja_idat_kala,3,10606,2638,1.0
shawanoe,3,3689,2766,1.0
guwahati,5,11878,3381,1.0
sepauk,4,12751,4841,1.0
jianchang_sichuan,3,12326,3273,1.0
barchkend,3,10670,2248,1.0
changqing,3,13007,2762,1.0
pelly_faro,3,1482,1017,1.0
youdian,3,12226,3445,1.0
yuechi,3,12543,3136,1.0
banan,5,12560,3175,1.0
moksobo,4,12058,3570,1.0
srey_sarchhor,5,12493,4186,1.0
dadandang,3,12256,3289,1.0
xiangshan_xinhui,5,12843,3584,1.0
xinhui,5,12838,3581,1.0
gujrat,3,11050,2983,1.0
kara,4,11381,3416,1.0
pakpattan,3,11040,3138,1.0
mailsi,3,11015,3153,1.0
ismail,5,9021,2208,1.0
korti,3,9132,3838,1.0
qerri,4,9193,3930,1.0
porto,3,7297,2483,1.0
kilmez,5,9989,1425,1.0
viviers,3,7905,2265,1.0
kuanda,3,12963,1465,1.0
yunnei,3,12713,2524,1.0
dobyaz,5,9907,1507,2.0
quigualtam,5,3552,2919,1.0
branicevo,5,8662,2250,1.0
gongan,5,12806,3156,1.0
ksituan,3,2262,1471,1.0
hanguang,5,12846,3504,1.0
ust_tsimla,3,9637,2054,1.0
ikryanoye,5,9859,2176,1.0
puge,5,12377,3307,1.0
tezpur,5,11910,3354,1.0
kovin,5,8661,2247,1.0
nudarcha,5,3447,2591,1.0
rudrapur,4,11501,3373,1.0
taoyuan,3,12768,3212,1.0
arnhem,4,7949,1776,1.0
krasny_yar,5,9877,2145,1.4142135623730951
yenotayevka,5,9818,2075,1.0
mohacs,4,8544,2169,1.0
yunkyur,4,13167,1169,1.0
zolotonosha,5,9139,1934,1.4142135623730951
ostiglia,3,8195,2236,1.0
chabcha,3,12279,2792,1.0
xiangtan,5,12829,3284,1.0
vyadhapura,5,12482,4226,1.0
pontianak,4,12660,4853,1.0
linz,3,8317,2013,1.0
macha,4,13040,1201,1.0
imangaq,4,216,968,1.0
nichabau,3,4187,2181,1.0
shwegu,5,12076,3506,2.23606797749979
