location_tag,original_levels,remaining_levels,original_coastal,new_coastal
pagan,5,,False,True
talaha,"1,2,3,5","1,2,3,5",False,True
borg,3,,True,True
taposa,"1,2,5","1,2,5",False,True
berbela,"1,3",1,False,True
yinshaluo,3,,False,True
katzenelnbogen,"1,3",1,False,True
uyana,"2,4",2,False,True
teocak,"2,3,5","2,5",False,True
perm,"2,3",2,False,True
yazoo,"1,2,3,5","1,2,3,5",False,True
rozdory,1,1,False,True
chopim,"1,2,3,4,5","1,2,5",False,True
urzhum,3,,False,True
yanci,1,,False,True
ncando,"2,3,5","2,5",False,True
sto_lo,"1,2,4,5","1,2,4,5",False,True
kyiv,"2,3,5",,False,True
duanxi,4,4,False,True
mbanza_nsundi,"1,2,5","1,2,5",False,True
chipata,"1,2","1,2",False,True
khagaria,"2,4,5",2,False,True
mingyi,"2,3,5",2,False,True
gushan,"1,3",1,False,True
bayan_susu,3,,False,True
waluulapam,3,,False,True
mattawa,"1,3",,False,True
melenki,3,,False,True
termez,"1,4,5","1,4,5",False,True
bondo,3,,False,True
budaun,"2,3",2,False,True
pangyang,4,,False,True
yaporox,"1,2,3","1,3",False,True
veekuhane,"1,3,5","1,3,5",False,True
huili,4,,False,True
thayet,"1,2,5","1,2,5",False,True
buiunda,"1,2,3,5","1,2,3,5",False,True
kuanhe,"1,3,5","1,5",False,True
sosnovy_ostrov,5,,False,True
tumul,"1,2,4","1,2",False,True
piumhi,"1,2,3","1,2",False,True
anding_mashan,"3,4",,False,True
koskoak,"3,5",,False,True
ongoulastoga,"1,3",1,False,True
chan_bo,3,,True,True
yicheng,3,,False,True
shizhao,"2,3,4,5",2,False,True
staraya_ladoga,3,3,False,True
palmas,"1,3,5","1,3",False,True
kengtawng,"1,2","1,2",False,True
jambi,3,,False,True
krasny_bor,"3,5","3,5",False,True
donjek,"2,3,5","2,5",False,True
jerantut,"1,2,3,5","1,2,3,5",False,True
staraya_mayna,4,,False,True
ouasioto,4,,False,True
amrabad,3,,False,True
imbangala,"1,2,3,5","1,2,5",False,True
shimian,3,,False,True
anipitapiskow,4,4,False,True
ankoro,"1,3,4,5","1,5",False,True
tenggarong,"1,3,4,5","1,3,5",False,True
lichtenberg,3,,False,True
beaupreau,3,,False,True
chapeco,"1,3",1,False,True
jaboticabal,"2,3,5","2,5",False,True
saw,"1,5","1,5",False,True
mobile,4,,True,True
zamyany,5,,False,True
umbra,"1,2,3,5","1,2,5",False,True
muang_sing,4,4,False,True
koyukuk,"3,4",,False,True
charagua,"1,2,3,5","1,2,5",False,True
tumba_ikoko,5,,False,True
bombwi,"1,3,5","1,5",False,True
zhanhe,"1,4,5","1,4,5",False,True
ahrweiler,"3,4",,False,True
jiyang,3,,False,True
campo_mourao,"1,2,3,5","1,2,5",False,True
minqing,3,,False,True
penaca,"1,2,3,5","2,5",False,True
yun,3,,False,True
peribonka,"1,2,3,5","1,2,5",False,True
pak_huei_lang,"1,4,5","1,4",False,True
luling,"1,2,3,5","1,2,5",False,True
godagari,"1,2,5","1,2",False,True
niagara,"1,4,5",,True,True
alchan,"2,3,5","2,3,5",False,True
tanahun,"1,2,3,5","1,2,3,5",False,True
vientiane,"3,4,5",3,False,True
jaiba,"1,2,4","1,2",False,True
kaharlyk,3,,False,True
st_ambroix,3,3,False,True
iguazu,"1,2,3,5","1,2,5",False,True
darmstadt,"1,2,3","1,2,3",False,True
khamra,4,,False,True
mengmeng,"1,3,5","1,3,5",False,True
cangwu,"3,4,5",,False,True
satapo,"2,3,5","2,5",False,True
mahoning_oh,1,1,False,True
karor,4,,False,True
pithapuram,4,,True,True
agra,"1,2,3,5","1,2,3,5",False,True
sambalpur,"1,2,3,5","1,2,3,5",False,True
shendi,4,,False,True
pankshin,"1,2,3,5","1,2,3",False,True
bodebyn,"1,2,3","1,2,3",False,True
devarakonda,3,,False,True
khemchik,"1,3,5","1,3,5",False,True
kittila,"1,2,3","1,2",False,True
