location_tag,water_location,state,shore_pixels
konghalla,pp_nav_00383,improvable,88
pagan,pp_nav_01680,navigable,42
pagan,pp_nav_01689,navigable,7
talaha,pp_nav_00877,navigable,76
talaha,pp_nav_00895,navigable,55
talaha,pp_nav_00935,navigable,3
borg,pp_nav_00319,navigable,23
taposa,pp_nav_01217,navigable,76
taposa,pp_nav_01229,navigable,21
berbela,pp_nav_02281,navigable,46
berbela,pp_nav_02292,improvable,27
yinshaluo,pp_nav_01643,navigable,45
katzenelnbogen,pp_nav_00735,improvable,1
katzenelnbogen,pp_nav_00744,improvable,13
uyana,pp_nav_00157,improvable,23
uyana,pp_nav_00168,navigable,67
teocak,pp_nav_00964,navigable,51
teocak,pp_nav_00968,navigable,17
perm,pp_nav_00377,navigable,22
perm,pp_nav_00382,navigable,24
perm,pp_nav_00397,navigable,33
perm,pp_nav_00422,navigable,25
yazoo,pp_nav_01248,navigable,35
yazoo,pp_nav_01258,navigable,33
yazoo,pp_nav_01269,navigable,36
yazoo,pp_nav_01287,navigable,32
rozdory,pp_nav_00806,navigable,9
rozdory,pp_nav_00810,navigable,27
chopim,pp_nav_02560,improvable,55
chopim,pp_nav_02561,navigable,7
urzhum,pp_nav_00431,navigable,19
urzhum,pp_nav_00443,navigable,61
urzhum,pp_nav_00467,navigable,1
yanci,pp_nav_01135,navigable,38
ncando,pp_nav_02202,navigable,63
sto_lo,pp_nav_00749,navigable,26
sto_lo,pp_nav_00767,improvable,127
sto_lo,pp_nav_00781,improvable,44
kyiv,pp_nav_00718,navigable,22
kyiv,pp_nav_00739,navigable,27
duanxi,pp_nav_01636,navigable,11
duanxi,pp_nav_01644,improvable,31
mbanza_nsundi,pp_nav_02237,barrier,2
mbanza_nsundi,pp_nav_02245,barrier,54
mbanza_nsundi,pp_nav_02247,barrier,23
chipata,pp_nav_01962,navigable,32
khagaria,pp_nav_01553,navigable,49
khagaria,pp_nav_01562,navigable,35
khagaria,pp_nav_01563,navigable,21
khagaria,pp_nav_01568,navigable,22
mingyi,pp_nav_01469,improvable,2
mingyi,pp_nav_01494,navigable,39
gushan,pp_nav_01166,improvable,39
gushan,pp_nav_01169,improvable,81
gushan,pp_nav_01173,improvable,13
bayan_susu,pp_nav_00914,navigable,18
bayan_susu,pp_nav_00915,navigable,34
waluulapam,pp_nav_00898,navigable,44
mattawa,pp_nav_00880,improvable,28
mattawa,pp_nav_00889,improvable,86
mattawa,pp_nav_00897,navigable,30
mattawa,pp_nav_00902,navigable,44
melenki,pp_nav_00525,navigable,9
melenki,pp_nav_00547,navigable,36
termez,pp_nav_01133,navigable,70
termez,pp_nav_01138,navigable,27
bondo,pp_nav_02345,navigable,51
budaun,pp_nav_01457,navigable,9
budaun,pp_nav_01470,navigable,15
pangyang,pp_nav_01641,barrier,24
pangyang,pp_nav_01654,navigable,47
pangyang,pp_nav_01665,improvable,4
yaporox,pp_nav_02038,navigable,26
veekuhane,pp_nav_02482,barrier,7
huili,pp_nav_01496,navigable,27
huili,pp_nav_01523,barrier,46
huili,pp_nav_01528,improvable,5
thayet,pp_nav_01709,navigable,47
thayet,pp_nav_01718,navigable,20
buiunda,pp_nav_00161,improvable,36
buiunda,pp_nav_00173,improvable,46
kuanhe,pp_nav_00674,improvable,3
kuanhe,pp_nav_00694,navigable,66
kuanhe,pp_nav_00715,improvable,36
sosnovy_ostrov,pp_nav_00644,navigable,28
sosnovy_ostrov,pp_nav_00659,navigable,50
tumul,pp_nav_00241,navigable,95
tumul,pp_nav_00259,navigable,2
piumhi,pp_nav_02510,navigable,65
piumhi,pp_nav_02513,navigable,53
anding_mashan,pp_nav_01615,navigable,29
koskoak,pp_nav_00390,navigable,92
koskoak,pp_nav_00412,improvable,19
koskoak,pp_nav_00417,improvable,66
ongoulastoga,pp_nav_01200,navigable,17
chan_bo,pp_nav_01854,navigable,22
yicheng,pp_nav_01296,navigable,68
shizhao,pp_nav_01356,navigable,25
