location,state,pixels,region,near_location,mean_discharge_m3_s,low_discharge_m3_s,gradient_m_per_km,evidence,x,y
pp_nav_00001,navigable,88,east_siberia_region,kengdey,15591.576,1919.172,0.01621670722961426,physical_screen,13492.67857142857,278.42857142857144
pp_nav_00002,navigable,77,east_siberia_region,olenegorsk,1569.851,378.226,0.20901353293164482,physical_screen,14409.416666666666,401.9166666666667
pp_nav_00003,navigable,80,east_siberia_region,olenegorsk,1561.339,379.984,0.22720931982335296,physical_screen,14403.5625,430.6041666666667
pp_nav_00004,navigable,75,west_siberia_region,dudinka,19386.365,5415.841,0.0014423072338104249,physical_screen,11605.270833333334,454.2291666666667
pp_nav_00005,navigable,88,east_siberia_region,vorontsovo,1510.795,361.482,0.22720931982335296,physical_screen,14401.87037037037,457.22222222222223
pp_nav_00006,navigable,36,east_siberia_region,molodo,15237.118,1800.214,0.0,physical_screen,13335.5,460.0
pp_nav_00007,navigable,81,west_siberia_region,dudinka,19326.35,5369.002,0.003197107114131761,physical_screen,11618.416666666666,483.625
pp_nav_00008,navigable,80,alaska_region,inuviq,9236.721,5778.597,0.0,physical_screen,1578.3125,485.1041666666667
pp_nav_00009,improvable,78,east_siberia_region,khargytyr,1486.164,369.642,0.4789145431991715,physical_screen,14375.75,486.1136363636364
pp_nav_00010,navigable,49,east_siberia_region,zharzhan,15158.88,1743.314,0.08702333634615009,physical_screen,13328.709677419354,502.7096774193548
pp_nav_00011,navigable,77,east_siberia_region,kurung_yuryakh,1160.8935000000001,252.7375,0.05716289543758356,physical_screen,14332.270833333334,503.7916666666667
pp_nav_00012,navigable,80,alaska_region,inuviq,9234.284,5771.182,0.061067976018207154,physical_screen,1575.2083333333333,508.6666666666667
pp_nav_00013,navigable,73,west_siberia_region,dudinka,19326.559,5309.6295,0.014715901371854774,physical_screen,11628.229166666666,516.1041666666666
pp_nav_00014,improvable,89,east_siberia_region,kolymskoie,782.152,304.278,0.4305214280942418,physical_screen,14911.603773584906,530.7358490566038
pp_nav_00015,navigable,77,east_siberia_region,tuyandina,1126.231,210.27499999999998,0.2171580986457964,physical_screen,14311.229166666666,522.4791666666666
pp_nav_00016,navigable,90,alaska_region,inuviq,8683.235,5669.435,0.0,physical_screen,1568.051724137931,542.1206896551724
pp_nav_00017,navigable,86,west_siberia_region,dudinka,18896.4,5253.164,0.0,physical_screen,11625.584905660377,548.811320754717
pp_nav_00018,navigable,67,east_siberia_region,tuyandina,1122.02,164.784,0.0,physical_screen,14298.390243902439,540.439024390244
pp_nav_00019,improvable,96,east_siberia_region,omoloon,765.829,299.945,0.4995992165160281,physical_screen,14917.145454545454,566.8909090909091
pp_nav_00020,navigable,69,alaska_region,inuviq,8951.51,5696.309,0.11629898846888789,physical_screen,1581.6341463414635,563.3658536585366
