location_tag,raw_material
jagua,fruit
montreuillon,lumber
chestowee,iron
zawila,livestock
patuxent,iron
bosutswe,goods_gold
ehwae,tobacco
einarsfjord,fish
sekadau,lumber
helfenstein,millet
al_ahmar,iron
stefanesti,clay
gulidjan,fish
dolo,livestock
otun,gems
opawica,lumber
bara_buru,beeswax
wase_wakpa,wild_game
iraqw,ivory
kollam,pepper
iscuande,fruit
kumukh,livestock
umpqua,stone
offa,dyes
porvoo,millet
yongan_youzhou,livestock
tyatseryn,clay
wabimeig,wild_game
talalakh,fur
stelty,fur
tlapan,gems
kamysh_burun,livestock
yixian_yizhou,stone
zihuatlan,cocoa
tsiietsenhtha,lumber
piquiri,wild_game
pitic,wild_game
ourense,wine
kaiserslautern,wild_game
ostrovskoye,millet
zhengcheng,rice
memba,fish
chupanga,lumber
tesinigh,copper
befandriana,lumber
yingdao,lumber
rennes,wheat
dinghai,fish
sampheak_borak,clay
sennar,cotton
tamaraceite,fish
iichiilikaaashaashe,wild_game
karluk_peak,fur
silver_lake,fur
kaya,rice
barysaw,fur
nowe,wool
nutari,rice
mehkar,livestock
voikar,fish
perevoz,lumber
guanfu,fish
spithota,maize
kahurangi,fish
pinar,wheat
balashov,livestock
titel,livestock
sorochinskaya,horses
iowa,wild_game
shangcheng,wild_game
kraslava,beeswax
nicatous,wild_game
ingariko,medicaments
megantic,fur
gowa,fish
napochi,fiber_crops
karima,sand
jaund,rice
wonju,rice
mouchalagane,fur
kaukou,wild_game
darlington,coal
tacna,beeswax
macas,medicaments
pag,medicaments
khaqmar,livestock
sankaranayinarkoil,cotton
pasai,goods_gold
hunucma,salt
slobozia,livestock
zhongjiang,rice
zazzau,cotton
ruydar,wild_game
ranibas,wild_game
atarque,maize
jiyuan,legumes
xinxing,fiber_crops
mewuk,fish
sisak,livestock
payacullo,gems
stryi,livestock
rayadurga,iron
chuwi,legumes
tonbridge,wool
kofan,beeswax
isluga,marble
leiria,lumber
magaguadavic,wild_game
paguat,beeswax
