location_tag,development
a_keis,0.000
a_taw_bun_kut_en,0.000
aa_kw,0.000
aabenraa,40.910
aaboukingon,4.720
aachen,54.690
aahkawiraahkata,8.230
aahkawirahkata,2.000
aakhoe,0.000
aaku,3.080
aalborg,37.090
aalst,74.790
aankwaahsakwa,3.020
aarau,50.180
aarhus,36.870
aashbikkaashee,0.000
aashbiliihkupe,5.000
aashise,0.000
aays,10.330
aba_al_qur,6.300
abacoa,0.000
abadan,26.270
abadeh,14.980
abadeh_tashk,14.320
abaga,0.000
abagaita,8.710
abaiang_atoll,0.000
abakasnk,0.320
abala,2.710
abalak,12.000
abalessa,7.000
aban,0.000
abare_i,1.040
abarkuh,28.280
abashiri,2.330
abau,0.000
abbeville,74.370
abdanan,15.910
abdas,20.410
abdulino,11.170
abe,21.320
abemama_atoll,0.000
abengourou,5.120
aberdeen,77.510
aberfeldy,61.660
aberystwyth,59.320
abesehir,0.370
abha,7.850
abhar,24.070
abihka,3.290
abil,10.280
abimatinu,2.000
abingdon,71.950
abisko,3.500
abitau,0.000
abiward,11.540
abiy_addi,15.930
abiz,13.390
abo,16.910
abomey,16.280
abong,0.000
aborlan,9.040
abrahamtelke,40.550
abu,25.450
abu_dhabi,4.630
abu_hamed,8.930
abu_kemal,22.700
abu_qasr,7.060
abu_rakah,8.060
abun,0.000
aburra,5.350
abuta,0.000
abutua,0.000
abyy,0.000
acambaro,30.300
acanti,18.880
acaponeta,16.050
acarau,0.000
acari,9.980
acasaguastlan,7.370
acatic,39.220
acayucan,33.990
accomac,5.320
accra,14.920
acerenza,59.500
achacachi,5.760
achachiwa,3.210
achaivayam,0.000
achaka,0.000
acham,27.940
achan,10.630
achava,0.000
achen,0.000
achikamii,2.000
achim,82.100
achit_nuur,0.470
acholi,5.130
achomawi,0.000
aco,3.120
aconca_hue,10.240
aconchi,1.790
aconquija,4.110
acoroazes,0.060
acqui,59.680
acre,42.380
acroas,0.000
acteon,0.000
acuera,4.810
ad_dawasir,5.470
ad_dilam,25.270
ad_disah,2.140
ad_dughmiyah,21.720
adachi,21.960
adachi_kanto,51.300
adakli,12.410
adalaga,13.470
adan,31.310
adana,56.510
adanki,30.870
adare,18.970
addu_atoll,22.500
adena,2.200
adeqiu,36.340
aderbissinat,29.730
adham,8.880
adigrat,3.630
adilabad,28.120
adirondacks,0.000
adixoodagoorahareesh,6.010
adjud,20.340
adlur,36.290
ado_ekiti,7.610
adoni,33.680
adony,48.160
adra,19.400
adrada,21.270
adranos,23.450
adrar,9.000
adraskan,17.990
adshusheer,4.940
aduma,0.000
adwa,14.530
adyukh,10.560
adyumba,0.000
adzera,1.030
aekyom,0.000
aerzhai,31.950
afade,20.380
afanasyevo,2.670
afif,12.710
afikpo,9.790
afmadow,13.500
afrera,9.320
afrin,35.040
afsin,42.480
afso,15.450
aga,7.630
agadem,8.410
agadez,5.190
agadir,24.050
agaes,1.130
agai_ticutta,0.030
agaidika,0.000
agar,43.470
agaro,9.490
agartala,34.950
agatsuma,23.530
agawa,24.030
agawa_superior,0.000
agawam,2.090
agayakan,0.000
agbonle,3.200
agde,69.900
agdez,11.590
agen,82.900
agh_qala,12.110
agham_kot,34.350
aghkand,24.000
aghmat,17.920
agikuyu,11.010
agnam_civol,3.000
agno,10.100
agob,0.000
agoo,9.360
agordat,7.440
agori,30.320
agouasaque,3.040
agra,63.290
agramunt,30.600
agreda,21.690
agror,22.690
agsu,10.760
aguacadiba,0.000
aguacana,8.620
aguacay,5.040
aguanish,0.000
aguasabon,0.000
aguere,7.810
aguiar,20.970
aguilar_de_campoo,25.560
agula,13.670
agulhas,0.000
aguyaq,0.000
aguz,21.720
agvituk,0.000
agw_aneq,0.000
agwarmin,0.000
aha_macav,2.020
ahar,16.910
ahaus,35.470
ahe,0.000
ahel,11.920
aheri,28.590
aheyya_fagg,7.600
ahkwesasne,3.000
ahkwesasne_ny,2.000
ahlat,39.900
ahmad_khan,14.060
ahmednagar,40.640
ahna_wate,0.000
ahobalam,31.150
ahome,12.830
ahouenro,1.000
ahrweiler,49.670
ahsenisiipi,5.280
ahtopol,31.730
ahuacatlan,14.000
ahuilizapan,8.130
ahurei,0.000
ahuya_yari,6.820
ahvaz,22.760
ahwar,33.210
ahwendoe,0.000
ai_ais,0.000
aichi,55.930
aignay,63.220
aigun,11.520
aikana,0.000
aikhal,0.000
aikou,31.860
ailinglaplap_atoll,0.000
aillik,0.000
ailuk_atoll,0.000
aim_maia,0.000
aim_mocoylek,6.390
aimangala,26.840
aimchan,0.000
aimi,31.250
aimore,0.000
ain_farah,8.120
ain_galaka,7.000
ain_madhi,10.710
ain_salah,9.030
ain_sefra,11.120
ainsa,17.050
ainu_nik,0.000
air_hitam,11.600
airag_nuur,0.280
aire,71.300
ais,0.000
ait_benhaddou,12.080
ait_daoud,10.850
aita,26.370
aitbulat,9.740
aitutaki_atoll,0.000
aiud,27.050
aivitok,0.000
aiwanj,17.330
aix_en_provence,55.780
aixe,60.820
aizkraukle,23.130
ajaccio,25.480
ajanas,10.020
ajara,20.720
ajase,30.940
ajawewesitagun,6.010
ajayameru,27.590
ajdabiya,14.140
ajehuac_yana,10.220
ajie,0.000
ajim,28.980
ajmer,33.200
aju,53.870
ajuchitlan,11.840
aka,22.550
akamba,0.000
akan_loc,0.460
akana,0.000
akaray,4.150
akaroa,0.750
akashi,44.790
akbarpur,52.110
akcasehir,60.640
akdagmadeni,18.920
akei,0.000
akhalkalaki,45.060
akhaltsikhe,16.310
akhisar,29.070
akhmim,47.340
akhsikath,24.370
akhsisek,12.980
akhtar,6.540
aki,27.390
aki_shikoku,22.460
akilasiewakik,0.000
akilonda,0.880
akimel_oodham,1.010
akimiski,0.000
akinka_nup,0.000
akinkumasnuqit,0.000
akishma,14.200
akisq_nuk,0.000
akita,33.850
akita_kumamoto,32.430
akjoujt,7.000
akkajaur,8.120
akkala,0.000
akkesene,15.750
akkeshi,3.420
akkol,2.160
akkus,35.530
aklan,9.410
aklaviq,0.000
aklera,58.340
aknuq_uk,0.000
akokpaq,0.000
akola,38.720
akonolinga,0.000
akora,24.500
akou,26.930
akre,23.030
akropong,15.810
aksaray,30.240
aksay,7.010
aksay_pointic,7.680
aksehir,29.060
aksu,27.590
aksumbe,12.070
aktas_kystagy,16.770
akto,10.000
akure,7.110
akureyri,0.000
akuugun,0.000
akwaala,2.680
akwatia,8.660
akwe,0.000
akwen,0.000
akyab,24.940
akyazi,32.120
al_abala,11.700
al_abwa,5.880
al_aflaj,10.560
al_ahmar,0.700
al_ahsa,21.360
al_ais,5.520
al_ajfar,7.310
al_amlah,12.290
al_amwah,18.180
al_anbar,24.890
al_arah,33.250
al_ayn,5.300
al_ayn_khaybar,9.530
al_aythamah,19.880
al_azlam,8.940
al_bab,37.330
al_bad,1.490
al_baharah,3.050
al_bayda,20.540
al_bayda_yemen,29.800
al_bidda,4.000
al_bijadiyah,6.790
al_bleiteh,3.840
al_burud,23.930
al_dhaid,7.390
al_farah_ula,2.630
al_fuqarah,16.940
al_furaish,3.990
al_ghat,33.930
al_ghazalah,2.730
al_ghrabah,8.650
al_ghulayfiqah,19.540
al_haddar,24.760
al_hadhah,5.720
al_hajr,21.310
al_hamad,7.360
al_haqu,9.360
al_harjah,8.070
al_harrah,6.840
al_hawra,7.130
al_hegrieah,15.100
al_hinakiyah,13.760
al_hirda,9.170
al_hisu,3.670
al_hufayr,3.740
al_hufayrah,13.080
al_hunayy,13.960
al_husayniyah,7.790
al_huwaila,4.000
al_huwayyit,4.230
al_jar,7.490
al_jawf,9.000
al_jeblien,12.080
al_jubayl,15.960
al_juhfah,9.630
al_jumum,10.870
al_kadwa,36.060
al_kamil_wal_wafi,11.690
al_khaburah,13.030
al_khadra,3.000
al_khadra_ALG,16.890
al_khanbarah,14.310
al_kharabah,9.950
al_khosuf,12.510
al_khuimat,15.400
al_khums,39.220
al_khuraybah,47.900
al_kuwayra,9.000
al_labbah,4.570
al_laghfiyyah,6.270
al_lith,18.870
al_luhayyah,16.810
al_madar,12.560
al_maddah,10.310
al_mafalis,25.180
al_maghib,10.310
al_mahani,6.010
al_mahjal,5.000
al_majazah,16.510
al_majmaah,14.940
al_mamtir,29.410
al_mandab,37.740
al_manjur,0.510
al_maramiyah,2.110
al_mardamah,2.730
al_marwa,5.130
al_mashqar,7.920
al_maslum,4.060
al_matamma,15.720
al_mazamma,18.350
al_mima,33.100
al_mithnab,17.760
al_muazzam,4.760
al_mukalla,44.260
al_mukha,24.340
al_mundassah,8.530
al_muthainiyah,11.050
al_muwaylih,14.280
al_qaiyah,14.740
al_qara,23.940
al_qatif,14.550
al_qatr,14.820
al_qunfudhah,26.360
al_quway,4.700
al_quwayrah,12.000
al_rusayrisi,20.000
al_shihr,40.410
al_shuqayq,11.820
al_sinn,22.560
al_sirrayn,23.040
al_suman,15.810
al_thamad,6.450
al_thulayma,7.660
al_tib,25.740
al_tiz,21.450
al_udayb,12.730
al_udayd,8.850
al_udhaim,3.210
al_ukhaydir,9.940
al_ula,5.850
al_uqayr,15.130
al_uyayna,5.330
al_wajh,8.930
al_waqbi,5.340
al_yamamah,12.920
alagadyan,0.000
alaiye,20.530
alakol,13.450
alakurti,0.000
alamamas,1.020
alamance,4.120
alamarvdasht,18.620
alamganj,53.920
alapaha,4.030
alapahoochee,0.000
alapayevsk,0.000
alarcon,28.550
alasehir,41.280
alashakhan,9.370
alat,14.020
alatyr,15.030
alausi,10.540
alaverdi,19.570
alawa,0.000
alays,16.930
alazapa,5.490
alba,72.930
alba_de_aliste,36.200
alba_de_tormes,35.930
alba_iulia,30.160
albacete,25.040
albarracin,36.990
albenga,29.030
albi,76.520
albo,15.940
albreda,3.200
albuquerque,28.620
alcacer_do_sal,25.770
alcala_de_henares,24.240
alcanices,29.300
alcaniz,40.550
alcantara,38.240
alcaraz,28.570
alcazar_de_san_juan,26.570
alchan,13.390
alcobaca,26.100
alcoy,25.350
aldan,0.000
alencon,80.290
aleppo,47.180
aleria,54.820
ales,42.260
aleshtar,17.940
alessandria,95.110
alexandria,52.560
alexandrov_gay,2.840
alexandrovskaya_sloboda,17.110
alexandrovskoye,7.090
alexeyevka,10.440
alexeyevskaya,15.340
alfambra,37.310
alfeld,69.050
alfenas,0.090
alferovskaya,11.020
alfta,7.620
algeciras,31.360
alghero,62.490
algiers,46.010
alhambra_location,23.410
ali_sabieh,5.980
aliabad_katul,22.680
alicante,48.830
aligurdaz,36.140
alii,0.000
alikovo,8.970
alinchak,0.000
alirajpur,34.300
alishang,35.670
aliskerovo,0.000
alkalawa,21.800
alkhan_kala,20.690
alkmaar,22.030
allagash,0.000
allakaket,0.000
allegheny,2.000
allegre,37.570
allingsas,18.220
allpas,21.300
alluyes,68.400
almaden,24.710
almalik_chach,14.030
almaliq,16.490
almanzora,38.640
almaty,22.650
almazan,37.250
almenara,0.000
almenevo,4.920
almeria,41.400
almetyevsk,25.310
almodovar_del_campo,27.150
almonaster_la_real,28.610
almora,25.690
almudevar,50.220
almunecar,20.650
alnwick,39.410
alpo_wa,0.000
alpowna,0.000
alpu,0.000
alsfeld,50.100
alsigontekw,3.000
alstahaug,6.650
alta,20.290
altafjord,0.000
altaikha,0.000
altamaha,4.550
altamura,59.570
altan_gadas,11.680
altayn_ovor_gobi,0.690
altayskoye,0.000
altdorf,38.670
altena,34.400
altenburg,51.590
altenkirchen,39.520
altinekin,27.610
altintas,49.630
altit,17.770
altun_ha,0.990
altun_kupri,24.370
altyntobe,17.670
altyshevo,14.110
alubera,0.000
aluksne,18.500
alula,8.000
alura,0.000
aluri,0.000
aluutashe,3.000
alvalade,31.540
alvastra,27.380
alvdal,2.590
alvito,30.540
alvsby,6.890
alwar,25.540
alxa,0.000
aly_kyuyel,0.000
alyanbulag,9.300
alymdya,0.000
alysardakh,0.000
alytus,16.660
am_dam,1.180
am_djemena,0.000
amabe,21.270
amadiya,12.220
amadjuak,0.000
amaga,0.000
amahami,6.000
amaigbo,11.660
amaimon,0.000
amakusa,22.700
amal,10.360
amalik,0.000
amalyk,0.000
amami_ooshima,8.460
amangu,4.000
amaravati,16.600
amarbayas_galang,11.350
amarendrapura,19.510
amargosa,0.000
amarkantak,35.280
amasipukwek,0.000
amasra,18.900
amassing,16.050
amasya,34.440
amaticoztitlan,12.050
amaxacotlan,8.190
amaye,8.180
amazar,9.500
ambaca,6.610
ambae,0.000
ambagarh,28.910
ambalanjakomby,4.160
ambam,0.000
ambarchik,0.000
ambat,10.320
ambatomanoina,5.690
ambatondrazaka,5.210
amber_loc,36.300
amberd,22.260
amberg,46.750
ambikapur,37.950
ambilobe,0.000
amblu_kai,4.300
ambohidray,7.310
amboim,5.700
amboise,66.840
ambolosy,3.780
ambositra,4.080
ambovontany,4.300
ambraw,3.110
ambriz,0.090
ambrizete,0.070
ambrym,0.000
ambuila,0.000
amchok,25.440
amdoukal,16.890
ameca,27.080
amedichi,0.000
amergo,20.960
amersfoort,34.260
amesbury,50.420
ameskour,14.550
amet,47.030
amga,0.000
amguema,0.000
amgun,4.500
ami,33.710
amiens,78.440
amintonck,2.010
amiq,0.000
amis,27.160
amisk,0.000
amisk_sakahikan,0.000
amisk_sipi,0.000
amiskwaciwiy,2.000
amkoe,0.000
amli,4.460
amman,24.080
ammonoosuc,0.000
ammoscongon,0.000
amnye_machen,4.680
amol,31.070
amol_turkmenabad,19.230
amollan,11.870
amoltepec,10.150
amomegosode,0.000
amonokoa,3.140
amora_gadal,8.770
amorgos,15.300
amoskeag,2.100
amot,8.390
amoyeli_gunahita,3.640
amoyescheck,3.980
ampotaka,0.740
amqui,0.000
amrabad,28.390
amravati,36.060
amreli,28.060
amsterdam,27.500
amstetten,72.660
amtogor,8.000
amud,4.000
amulaca,0.000
amundava,0.000
amurang,18.140
amyint,32.030
an_nabhaniyah,11.420
an_nakhil,7.960
an_nasifah,11.420
an_nibaj,7.640
an_nil,30.980
an_nuhaytiyyah,4.790
an_nuqrah,9.540
anaa,3.000
anabar,0.000
anace,0.000
anaco,4.410
anacopia,15.650
anacostia,8.800
anadyr_river,0.000
anadyr_trail,0.000
anagance,1.000
anagni,56.780
anah,17.500
anais,0.000
anajas,0.000
anak,60.380
anaklia,62.660
anakovik,0.000
anambas_islands,16.170
anambe,0.000
anamur,15.680
anana,30.900
ananatuba,0.000
ananiv,9.980
anantapur,40.230
anar,13.950
anarak,26.360
anardara,13.740
anasagunticook,0.000
anavarza,37.240
anavik,0.000
anaya,0.000
anbang,25.550
anbian,28.230
anchau,19.570
anchun,13.150
ancona,88.240
ancuase,3.970
ancud,12.460
andaki,7.740
andar,49.330
andarab,10.390
andarai,0.000
andastoerrhonon,0.000
andasy_merine,3.420
andawaohie,2.000
andaymarca,3.930
ande,58.050
andechs,53.570
andegerebenha,0.000
anderson,0.000
andevoranto,0.000
andijan,28.890
andika,17.850
andimeshk,22.970
anding,35.780
anding_mashan,32.140
anding_suzhou,18.050
andkhoy,20.880
andolo,21.990
andomsky_pogost,0.000
andong,52.620
andong_huaian,65.190
andorra_la_vella,23.700
andranoboka,3.790
andranomavo,3.760
andranosoa,3.420
andravida,37.440
andreapol,19.240
andria,70.790
andritsaina,20.140
andros,17.030
androscoggin,2.000
andryushkino,0.000
andujar,36.350
anecho,2.600
anegada,0.000
anegandi,41.840
aneityum,0.000
anelo,0.000
anew,15.530
anfa,50.270
anfu_jian,35.150
anfu_li,40.890
angadippuram,19.260
angamacutiro,28.390
angastaco,9.010
angelokastron,31.260
angermunde,67.340
angers,71.260
anggamudi,0.000
angkor,34.520
angkor_borei,28.470
angkor_knong,25.480
anglesey,67.500
angoche,7.270
angoram,4.270
angouleme,80.020
angoya,0.000
angra,5.750
angualasto,7.000
angul,31.720
